model,isl,L,dtype,N,cs,BS,hit,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
v32,64k,34,fp32,65551,1,256,0.406,59.86495,38.748400000000004,47.79775,1.545,1.234,True
v32,64k,34,fp32,65551,1,512,0.406,113.9906,73.77664999999999,101.73475,1.545,1.379,True
v32,64k,34,fp32,65551,1,1024,0.406,192.4712,122.63369999999999,157.1644,1.569,1.282,True
v32,128k,34,fp32,131087,8,1,0.62,21.63155,17.8861,16.92455,1.209,0.946,True
v32,128k,34,fp32,131087,8,2,0.62,22.1502,18.3214,17.3788,1.209,0.949,True
v32,128k,34,fp32,131087,8,4,0.62,22.5438,18.5326,17.43665,1.216,0.941,True
v32,128k,34,fp32,131087,4,8,0.62,23.447599999999998,19.862099999999998,17.916700000000002,1.181,0.902,True
v32,128k,34,fp32,131087,4,16,0.62,23.82205,20.20615,18.2736,1.179,0.904,True
v32,128k,34,fp32,131087,4,32,0.62,25.52955,21.635,21.7648,1.18,1.006,True
v32,128k,34,fp32,131087,2,64,0.62,29.233150000000002,25.61105,24.53735,1.141,0.958,True
v32,128k,34,fp32,131087,1,128,0.62,36.55955,34.516349999999996,37.4379,1.059,1.085,True
v32,128k,34,fp32,131087,1,256,0.62,71.5127,67.41355,77.93185000000001,1.061,1.156,True
v32,128k,34,fp32,131087,1,512,0.62,127.4496,120.0945,151.5997,1.061,1.262,True
v32,128k,34,fp32,131087,1,1024,0.62,229.99545,215.5556,236.36495000000002,1.067,1.097,True
v32,256k,34,fp32,163775,8,1,0.865,28.377200000000002,21.8669,19.16,1.298,0.876,True
v32,256k,34,fp32,163775,8,2,0.865,28.8525,22.094,19.4912,1.306,0.882,True
v32,256k,34,fp32,163775,8,4,0.865,28.89725,22.2765,19.68285,1.297,0.884,True
v32,256k,34,fp32,163775,4,8,0.865,30.4957,23.7007,20.025299999999998,1.287,0.845,True
v32,256k,34,fp32,163775,4,16,0.865,30.9932,24.282799999999998,20.50535,1.276,0.844,True
v32,256k,34,fp32,163775,4,32,0.865,32.75165,25.8349,24.855700000000002,1.268,0.962,True
v32,256k,34,fp32,163775,2,64,0.865,37.537099999999995,29.754849999999998,28.6236,1.262,0.962,True
v32,256k,34,fp32,163775,1,128,0.865,52.338550000000005,45.28915,46.2554,1.156,1.021,True
v32,256k,34,fp32,163775,1,256,0.865,91.7349,82.0758,90.95075,1.118,1.108,True
v32,256k,34,fp32,163775,1,512,0.865,165.9692,148.78375,174.18505,1.116,1.171,True
v32,256k,34,fp32,163775,1,1024,0.865,295.46504999999996,265.80940000000004,283.61075,1.112,1.067,True
v32,4k,54,fp32,4111,1,1,0.719,15.817350000000001,11.3376,12.22555,1.395,1.078,True
v32,4k,54,fp32,4111,1,2,0.719,15.5006,11.17235,12.2464,1.387,1.096,True
v32,4k,54,fp32,4111,1,4,0.719,15.6159,11.1328,11.964,1.403,1.075,True
v32,4k,54,fp32,4111,1,8,0.719,15.7566,11.30695,12.099200000000002,1.394,1.07,True
v32,4k,54,fp32,4111,1,16,0.719,15.9133,11.4841,12.2272,1.386,1.065,True
v32,4k,54,fp32,4111,1,32,0.719,16.155,11.70715,12.65375,1.38,1.081,True
v32,4k,54,fp32,4111,1,64,0.719,16.42695,11.97225,12.8685,1.372,1.075,True
v32,4k,54,fp32,4111,1,128,0.719,16.94215,12.52785,13.344,1.352,1.065,True
v32,4k,54,fp32,4111,1,256,0.719,21.07815,15.0622,17.190150000000003,1.399,1.141,True
v32,4k,54,fp32,4111,1,512,0.719,39.261900000000004,27.551650000000002,30.513150000000003,1.425,1.107,True
v32,4k,54,fp32,4111,1,1024,0.719,69.15585,49.812050000000006,47.444199999999995,1.388,0.952,True
v32,8k,54,fp32,8207,1,1,0.908,16.39345,12.1967,12.24135,1.344,1.004,True
v32,8k,54,fp32,8207,1,2,0.908,16.4573,12.35025,12.3408,1.333,0.999,True
v32,8k,54,fp32,8207,1,4,0.908,16.283,12.136,12.300600000000001,1.342,1.014,True
v32,8k,54,fp32,8207,1,8,0.908,16.26215,12.14545,12.42195,1.339,1.023,True
v32,8k,54,fp32,8207,1,16,0.908,16.66705,12.5008,12.536,1.333,1.003,True
v32,8k,54,fp32,8207,1,32,0.908,16.90375,12.84605,12.8506,1.316,1.0,True
v32,8k,54,fp32,8207,1,64,0.908,17.3005,13.0911,13.12945,1.322,1.003,True
v32,8k,54,fp32,8207,1,128,0.908,18.00135,13.84765,13.852549999999999,1.3,1.0,True
v32,8k,54,fp32,8207,1,256,0.908,22.2877,16.9757,17.150299999999998,1.313,1.01,True
v32,8k,54,fp32,8207,1,512,0.908,41.2235,31.31155,30.452450000000002,1.317,0.973,True
v32,8k,54,fp32,8207,1,1024,0.908,72.83585000000001,57.0056,47.49385,1.278,0.833,True
v32,16k,54,fp32,16399,1,1,0.676,16.67505,14.10375,11.313600000000001,1.182,0.802,True
v32,16k,54,fp32,16399,1,2,0.676,16.5374,13.93745,11.252799999999999,1.187,0.807,True
v32,16k,54,fp32,16399,1,4,0.676,16.80295,14.1919,11.2624,1.184,0.794,True
v32,16k,54,fp32,16399,1,8,0.676,16.5981,13.999799999999999,11.2272,1.186,0.802,True
v32,16k,54,fp32,16399,1,16,0.676,16.990099999999998,14.39505,11.667200000000001,1.18,0.811,True
v32,16k,54,fp32,16399,1,32,0.676,17.33895,14.755,12.0095,1.175,0.814,True
v32,16k,54,fp32,16399,1,64,0.676,17.86535,15.1806,12.49235,1.177,0.823,True
v32,16k,54,fp32,16399,1,128,0.676,18.80935,16.09105,13.35325,1.169,0.83,True
v32,16k,54,fp32,16399,1,256,0.676,23.2701,20.3789,17.4286,1.142,0.855,True
v32,16k,54,fp32,16399,1,512,0.676,43.31625,38.36425,31.3882,1.129,0.818,True
v32,16k,54,fp32,16399,1,1024,0.676,76.39739999999999,68.8887,49.1595,1.109,0.714,True
v32,32k,54,fp32,32783,1,1,0.512,19.58045,16.89905,13.4331,1.159,0.795,True
v32,32k,54,fp32,32783,1,2,0.512,19.40775,16.5917,13.14205,1.17,0.792,True
v32,32k,54,fp32,32783,1,4,0.512,19.4701,16.74225,13.33915,1.163,0.797,True
v32,32k,54,fp32,32783,1,8,0.512,19.658849999999997,16.9533,13.345600000000001,1.16,0.787,True
v32,32k,54,fp32,32783,1,16,0.512,20.1693,17.4894,13.7616,1.153,0.787,True
v32,32k,54,fp32,32783,1,32,0.512,20.526049999999998,17.9198,14.3758,1.145,0.802,True
v32,32k,54,fp32,32783,1,64,0.512,21.074849999999998,18.38375,14.85585,1.146,0.808,True
v32,32k,54,fp32,32783,1,128,0.512,22.412599999999998,19.670099999999998,16.26695,1.139,0.827,True
v32,32k,54,fp32,32783,1,256,0.512,30.298849999999998,25.956400000000002,22.76765,1.167,0.877,True
v32,32k,54,fp32,32783,1,512,0.512,56.2264,48.988150000000005,43.56095,1.148,0.889,True
v32,32k,54,fp32,32783,1,1024,0.512,96.5523,84.94460000000001,67.46310000000001,1.137,0.794,True
