model,isl,N,K,L,hit,op,us,us_span,exact
flash,256k,65538,512,10,0.193,flashinfer_topk,13.379,13.379,True
flash,256k,65538,512,22,0.279,op26_r0auto,13.8239,13.8239,
flash,256k,65538,512,22,0.279,radix_cutedsl,19.755,19.755,True
flash,256k,65538,512,22,0.279,sglang_v2,9.5998,9.5998,True
flash,256k,65538,512,22,0.279,flashinfer_topk,13.1166,13.1166,True
flash,256k,65538,512,34,0.631,op26_r0auto,14.2222,14.2222,
flash,256k,65538,512,34,0.631,radix_cutedsl,20.1038,20.1038,True
flash,256k,65538,512,34,0.631,sglang_v2,9.3631,9.3631,True
flash,256k,65538,512,34,0.631,flashinfer_topk,12.7903,12.7903,True
flash,512k,131075,512,10,0.455,op26_r0auto,16.9486,16.9486,
flash,512k,131075,512,10,0.455,radix_cutedsl,20.1869,20.1869,True
flash,512k,131075,512,10,0.455,sglang_v2,13.115,13.115,True
flash,512k,131075,512,10,0.455,flashinfer_topk,16.467,16.467,True
flash,512k,131075,512,22,0.057,op26_r0auto,23.1902,23.1902,
flash,512k,131075,512,22,0.057,radix_cutedsl,20.1501,20.1501,True
flash,512k,131075,512,22,0.057,sglang_v2,13.4703,13.4703,True
flash,512k,131075,512,22,0.057,flashinfer_topk,18.4367,18.4367,True
flash,512k,131075,512,34,0.283,op26_r0auto,14.9839,14.9839,
flash,512k,131075,512,34,0.283,radix_cutedsl,20.139,20.139,True
flash,512k,131075,512,34,0.283,sglang_v2,11.1919,11.1919,True
flash,512k,131075,512,34,0.283,flashinfer_topk,15.147,15.147,True
flash,1024k,262127,512,10,0.385,op26_r0auto,20.9453,20.9453,
flash,1024k,262127,512,10,0.385,radix_cutedsl,20.7662,20.7662,True
flash,1024k,262127,512,10,0.385,sglang_v2,17.331,17.331,True
flash,1024k,262127,512,10,0.385,flashinfer_topk,23.6352,23.6352,True
flash,1024k,262127,512,22,0.422,op26_r0auto,20.9102,20.9102,
flash,1024k,262127,512,22,0.422,radix_cutedsl,19.9757,19.9757,True
flash,1024k,262127,512,22,0.422,sglang_v2,16.5358,16.5358,True
flash,1024k,262127,512,22,0.422,flashinfer_topk,17.9518,17.9518,True
flash,1024k,262127,512,34,0.379,op26_r0auto,19.9822,19.9822,
flash,1024k,262127,512,34,0.379,radix_cutedsl,20.8397,20.8397,True
flash,1024k,262127,512,34,0.379,sglang_v2,16.179,16.179,True
flash,1024k,262127,512,34,0.379,flashinfer_topk,19.483,19.483,True
pro,4k,1027,1024,14,0.997,op26_r0auto,8.3791,8.3791,
pro,4k,1027,1024,14,0.997,radix_cutedsl,5.4862,5.4862,True
pro,4k,1027,1024,14,0.997,sglang_v2,4.4847,4.4847,True
pro,4k,1027,1024,14,0.997,flashinfer_topk,6.3568,6.3568,True
pro,4k,1027,1024,30,0.998,op26_r0auto,8.235,8.235,
pro,4k,1027,1024,30,0.998,radix_cutedsl,5.6688,5.6688,True
pro,4k,1027,1024,30,0.998,sglang_v2,4.7247,4.7247,True
pro,4k,1027,1024,30,0.998,flashinfer_topk,6.3248,6.3248,True
pro,4k,1027,1024,46,0.998,op26_r0auto,8.0335,8.0335,
pro,4k,1027,1024,46,0.998,radix_cutedsl,5.7023,5.7023,True
pro,4k,1027,1024,46,0.998,sglang_v2,4.7008,4.7008,True
pro,4k,1027,1024,46,0.998,flashinfer_topk,6.3631,6.3631,True
pro,8k,2051,1024,14,0.83,op26_r0auto,9.0335,9.0335,
pro,8k,2051,1024,14,0.83,radix_cutedsl,5.8687,5.8687,True
pro,8k,2051,1024,14,0.83,sglang_v2,4.6735,4.6735,True
pro,8k,2051,1024,14,0.83,flashinfer_topk,7.0974,7.0974,True
pro,8k,2051,1024,30,0.461,op26_r0auto,7.6734,7.6734,
pro,8k,2051,1024,30,0.461,radix_cutedsl,5.6591,5.6591,True
pro,8k,2051,1024,30,0.461,sglang_v2,4.5616,4.5616,True
pro,8k,2051,1024,30,0.461,flashinfer_topk,6.8575,6.8575,True
pro,8k,2051,1024,46,0.611,op26_r0auto,8.8686,8.8686,
pro,8k,2051,1024,46,0.611,radix_cutedsl,5.7216,5.7216,True
pro,8k,2051,1024,46,0.611,sglang_v2,4.6479,4.6479,True
pro,8k,2051,1024,46,0.611,flashinfer_topk,7.0173,7.0173,True
pro,16k,4099,1024,14,0.773,op26_r0auto,10.3695,10.3695,
pro,16k,4099,1024,14,0.773,radix_cutedsl,7.0175,7.0175,True
pro,16k,4099,1024,14,0.773,sglang_v2,5.3759,5.3759,True
pro,16k,4099,1024,14,0.773,flashinfer_topk,8.184,8.184,True
pro,16k,4099,1024,30,0.739,op26_r0auto,10.323,10.323,
pro,16k,4099,1024,30,0.739,radix_cutedsl,7.0416,7.0416,True
pro,16k,4099,1024,30,0.739,sglang_v2,5.3791,5.3791,True
pro,16k,4099,1024,30,0.739,flashinfer_topk,8.0208,8.0208,True
pro,16k,4099,1024,46,0.829,op26_r0auto,10.6302,10.6302,
pro,16k,4099,1024,46,0.829,radix_cutedsl,7.0239,7.0239,True
pro,16k,4099,1024,46,0.829,sglang_v2,5.3471,5.3471,True
pro,16k,4099,1024,46,0.829,flashinfer_topk,7.8255,7.8255,True
pro,32k,8195,1024,14,0.874,op26_r0auto,10.1231,10.1231,
pro,32k,8195,1024,14,0.874,radix_cutedsl,8.8384,8.8384,True
pro,32k,8195,1024,14,0.874,sglang_v2,5.9872,5.9872,True
pro,32k,8195,1024,14,0.874,flashinfer_topk,11.6142,11.6142,True
pro,32k,8195,1024,30,0.53,op26_r0auto,10.8958,10.8958,
pro,32k,8195,1024,30,0.53,radix_cutedsl,9.0768,9.0768,True
pro,32k,8195,1024,30,0.53,sglang_v2,5.9663,5.9663,True
pro,32k,8195,1024,30,0.53,flashinfer_topk,11.883,11.883,True
pro,32k,8195,1024,46,0.752,op26_r0auto,10.6383,10.6383,
pro,32k,8195,1024,46,0.752,radix_cutedsl,9.168,9.168,True
pro,32k,8195,1024,46,0.752,sglang_v2,6.4303,6.4303,True
pro,32k,8195,1024,46,0.752,flashinfer_topk,12.0654,12.0654,True
pro,64k,16387,1024,14,0.606,op26_r0auto,12.2159,12.2159,
pro,64k,16387,1024,14,0.606,radix_cutedsl,19.6125,19.6125,True
pro,64k,16387,1024,14,0.606,sglang_v2,8.504,8.504,True
pro,64k,16387,1024,14,0.606,flashinfer_topk,11.9262,11.9262,True
pro,64k,16387,1024,30,0.312,op26_r0auto,10.0542,10.0542,
pro,64k,16387,1024,30,0.312,radix_cutedsl,19.59,19.59,True
pro,64k,16387,1024,30,0.312,sglang_v2,8.568,8.568,True
pro,64k,16387,1024,30,0.312,flashinfer_topk,12.0766,12.0766,True
pro,64k,16387,1024,46,0.519,op26_r0auto,12.0093,12.0093,
pro,64k,16387,1024,46,0.519,radix_cutedsl,19.7038,19.7038,True
pro,64k,16387,1024,46,0.519,sglang_v2,8.6575,8.6575,True
pro,64k,16387,1024,46,0.519,flashinfer_topk,11.8895,11.8895,True
pro,128k,32771,1024,14,0.812,op26_r0auto,13.1774,13.1774,
pro,128k,32771,1024,14,0.812,radix_cutedsl,19.8526,19.8526,True
pro,128k,32771,1024,14,0.812,sglang_v2,8.8319,8.8319,True
pro,128k,32771,1024,14,0.812,flashinfer_topk,11.7743,11.7743,True
pro,128k,32771,1024,30,0.326,op26_r0auto,11.7326,11.7326,
pro,128k,32771,1024,30,0.326,radix_cutedsl,19.7645,19.7645,True
pro,128k,32771,1024,30,0.326,sglang_v2,8.4527,8.4527,True
pro,128k,32771,1024,30,0.326,flashinfer_topk,11.9805,11.9805,True
pro,128k,32771,1024,46,0.609,op26_r0auto,23.158,23.158,
pro,128k,32771,1024,46,0.609,radix_cutedsl,20.0957,20.0957,True
pro,128k,32771,1024,46,0.609,sglang_v2,10.7391,10.7391,True
pro,128k,32771,1024,46,0.609,flashinfer_topk,12.4637,12.4637,True
pro,256k,65539,1024,14,0.799,op26_r0auto,14.1423,14.1423,
pro,256k,65539,1024,14,0.799,radix_cutedsl,19.7198,19.7198,True
pro,256k,65539,1024,14,0.799,sglang_v2,9.7567,9.7567,True
pro,256k,65539,1024,14,0.799,flashinfer_topk,12.811,12.811,True
pro,256k,65539,1024,30,0.358,op26_r0auto,13.8672,13.8672,
pro,256k,65539,1024,30,0.358,radix_cutedsl,19.6253,19.6253,True
pro,256k,65539,1024,30,0.358,sglang_v2,9.952,9.952,True
pro,256k,65539,1024,30,0.358,flashinfer_topk,13.4558,13.4558,True
pro,256k,65539,1024,46,0.709,op26_r0auto,13.8586,13.8586,
pro,256k,65539,1024,46,0.709,radix_cutedsl,19.6606,19.6606,True
pro,256k,65539,1024,46,0.709,sglang_v2,11.5182,11.5182,True
