model,isl,N,K,L,BS,hit,op,us,us_span,exact
flash,8k,2051,512,10,512,0.672,radix_cutedsl,22.8413,22.8413,True
flash,8k,2051,512,10,512,0.672,sglang_v2,10.8383,10.8383,True
flash,8k,2051,512,10,512,0.672,flashinfer_topk,17.4253,17.4253,True
flash,8k,2051,512,10,1024,0.672,gvr_pr,32.7611,32.7611,True
flash,8k,2051,512,10,1024,0.672,radix_cutedsl,38.4523,38.4523,True
flash,8k,2051,512,10,1024,0.672,sglang_v2,17.9581,17.9581,True
flash,8k,2051,512,10,1024,0.672,flashinfer_topk,30.4958,30.4958,True
flash,16k,4099,512,10,1,0.648,gvr_pr,9.4445,9.4445,True
flash,16k,4099,512,10,1,0.648,radix_cutedsl,7.3471,7.3471,True
flash,16k,4099,512,10,1,0.648,sglang_v2,5.6159,5.6159,True
flash,16k,4099,512,10,1,0.648,flashinfer_topk,7.9182,7.9182,True
flash,16k,4099,512,10,2,0.648,gvr_pr,9.379,9.379,True
flash,16k,4099,512,10,2,0.648,radix_cutedsl,7.4815,7.4815,True
flash,16k,4099,512,10,2,0.648,sglang_v2,5.4399,5.4399,True
flash,16k,4099,512,10,2,0.648,flashinfer_topk,7.8688,7.8688,True
flash,16k,4099,512,10,4,0.648,gvr_pr,9.2765,9.2765,True
flash,16k,4099,512,10,4,0.648,radix_cutedsl,7.5231,7.5231,True
flash,16k,4099,512,10,4,0.648,sglang_v2,5.4992,5.4992,True
flash,16k,4099,512,10,4,0.648,flashinfer_topk,7.9023,7.9023,True
flash,16k,4099,512,10,8,0.648,gvr_pr,9.5659,9.5659,True
flash,16k,4099,512,10,8,0.648,radix_cutedsl,7.6606,7.6606,True
flash,16k,4099,512,10,8,0.648,sglang_v2,5.5103,5.5103,True
flash,16k,4099,512,10,8,0.648,flashinfer_topk,7.9424,7.9424,True
flash,16k,4099,512,10,16,0.648,gvr_pr,9.3518,9.3518,True
flash,16k,4099,512,10,16,0.648,radix_cutedsl,7.5006,7.5006,True
flash,16k,4099,512,10,16,0.648,sglang_v2,5.4176,5.4176,True
flash,16k,4099,512,10,16,0.648,flashinfer_topk,8.0111,8.0111,True
flash,16k,4099,512,10,32,0.648,gvr_pr,9.6206,9.6206,True
flash,16k,4099,512,10,32,0.648,radix_cutedsl,7.5967,7.5967,True
flash,16k,4099,512,10,32,0.648,sglang_v2,5.4959,5.4959,True
flash,16k,4099,512,10,32,0.648,flashinfer_topk,8.1023,8.1023,True
flash,16k,4099,512,10,64,0.648,gvr_pr,9.6095,9.6095,True
flash,16k,4099,512,10,64,0.648,radix_cutedsl,7.7647,7.7647,True
flash,16k,4099,512,10,64,0.648,sglang_v2,5.6031,5.6031,True
flash,16k,4099,512,10,64,0.648,flashinfer_topk,8.1935,8.1935,True
flash,16k,4099,512,10,128,0.648,gvr_pr,9.9007,9.9007,True
flash,16k,4099,512,10,128,0.648,radix_cutedsl,8.2,8.2,True
flash,16k,4099,512,10,128,0.648,sglang_v2,5.872,5.872,True
flash,16k,4099,512,10,128,0.648,flashinfer_topk,8.443,8.443,True
flash,16k,4099,512,10,256,0.648,gvr_pr,11.3264,11.3264,True
flash,16k,4099,512,10,256,0.648,radix_cutedsl,14.2685,14.2685,True
flash,16k,4099,512,10,256,0.648,sglang_v2,7.2079,7.2079,True
flash,16k,4099,512,10,256,0.648,flashinfer_topk,11.6031,11.6031,True
flash,16k,4099,512,10,512,0.648,gvr_pr,20.5933,20.5933,True
flash,16k,4099,512,10,512,0.648,radix_cutedsl,26.5597,26.5597,True
flash,16k,4099,512,10,512,0.648,sglang_v2,12.2399,12.2399,True
flash,16k,4099,512,10,512,0.648,flashinfer_topk,20.7725,20.7725,True
flash,16k,4099,512,10,1024,0.648,gvr_pr,36.9547,36.9547,True
flash,16k,4099,512,10,1024,0.648,radix_cutedsl,44.7947,44.7947,True
flash,16k,4099,512,10,1024,0.648,sglang_v2,20.0588,20.0588,True
flash,16k,4099,512,10,1024,0.648,flashinfer_topk,34.9804,34.9804,True
flash,32k,8195,512,10,1,0.723,gvr_pr,9.3564,9.3564,True
flash,32k,8195,512,10,1,0.723,radix_cutedsl,9.4047,9.4047,True
flash,32k,8195,512,10,1,0.723,sglang_v2,6.032,6.032,True
flash,32k,8195,512,10,1,0.723,flashinfer_topk,11.5743,11.5743,True
flash,32k,8195,512,10,2,0.723,gvr_pr,9.4079,9.4079,True
flash,32k,8195,512,10,2,0.723,radix_cutedsl,9.5423,9.5423,True
flash,32k,8195,512,10,2,0.723,sglang_v2,6.2656,6.2656,True
flash,32k,8195,512,10,2,0.723,flashinfer_topk,11.6031,11.6031,True
flash,32k,8195,512,10,4,0.723,gvr_pr,9.504,9.504,True
flash,32k,8195,512,10,4,0.723,radix_cutedsl,9.5359,9.5359,True
