K,dtype,N,scen,cs,BS,base,pr,op26,pr_vs_base,op26_vs_pr,pr_exact
1024,fp32,4096,best,1,128,11.416,10.472,10.99995,1.09,1.05,True
1024,fp32,4096,best,1,256,13.31675,12.1648,13.734399999999999,1.095,1.129,True
1024,fp32,4096,best,1,512,24.4271,22.11515,23.82875,1.105,1.077,True
1024,fp32,4096,best,1,1024,43.126349999999995,39.7359,37.6911,1.085,0.949,True
1024,fp32,4096,worst,1,1,9.927950000000001,9.44,8.38235,1.052,0.888,True
1024,fp32,4096,worst,1,2,9.8384,9.45915,8.476799999999999,1.04,0.896,True
1024,fp32,4096,worst,1,4,9.68,9.2736,8.184,1.044,0.883,True
1024,fp32,4096,worst,1,8,9.89275,9.424,8.42875,1.05,0.894,True
1024,fp32,4096,worst,1,16,9.948799999999999,9.625549999999999,8.414399999999999,1.034,0.874,True
1024,fp32,4096,worst,1,32,9.99835,9.616,8.4976,1.04,0.884,True
1024,fp32,4096,worst,1,64,10.1504,9.7408,8.648,1.042,0.888,True
1024,fp32,4096,worst,1,128,10.74395,10.24155,8.939200000000001,1.049,0.873,True
1024,fp32,4096,worst,1,256,12.44,11.98235,11.3199,1.038,0.945,True
1024,fp32,4096,worst,1,512,22.6608,21.752,19.49755,1.042,0.896,True
1024,fp32,4096,worst,1,1024,40.35835,39.227050000000006,30.77595,1.029,0.785,True
1024,fp32,8192,best,1,1,18.5712,9.71995,10.526399999999999,1.911,1.083,True
1024,fp32,8192,best,1,2,18.552,9.8096,10.624,1.891,1.083,True
1024,fp32,8192,best,1,4,18.93435,10.04795,10.9744,1.884,1.092,True
1024,fp32,8192,best,1,8,18.89755,9.9312,11.08315,1.903,1.116,True
1024,fp32,8192,best,1,16,19.27675,10.3072,11.20955,1.87,1.088,True
1024,fp32,8192,best,1,32,19.56475,10.6432,11.46235,1.838,1.077,True
1024,fp32,8192,best,1,64,19.75515,10.814350000000001,11.654399999999999,1.827,1.078,True
1024,fp32,8192,best,1,128,20.40315,11.3231,12.222299999999999,1.802,1.079,True
1024,fp32,8192,best,1,256,27.35825,13.798399999999999,15.816,1.983,1.146,True
1024,fp32,8192,best,1,512,50.830400000000004,25.171200000000002,28.0527,2.019,1.114,True
1024,fp32,8192,best,1,1024,86.27495,45.563050000000004,45.662349999999996,1.894,1.002,True
1024,fp32,8192,worst,1,1,10.099200000000002,10.4496,9.39035,0.966,0.899,True
1024,fp32,8192,worst,1,2,9.859200000000001,10.35835,9.29115,0.952,0.897,True
1024,fp32,8192,worst,1,4,9.76,10.22715,9.167950000000001,0.954,0.896,True
1024,fp32,8192,worst,1,8,9.916799999999999,10.2992,9.2192,0.963,0.895,True
1024,fp32,8192,worst,1,16,9.9184,10.3072,9.2784,0.962,0.9,True
1024,fp32,8192,worst,1,32,10.1424,10.5632,9.40475,0.96,0.89,True
1024,fp32,8192,worst,1,64,10.3184,10.7536,9.673549999999999,0.96,0.9,True
1024,fp32,8192,worst,1,128,10.8928,11.2799,10.1824,0.966,0.903,True
1024,fp32,8192,worst,1,256,13.17595,13.7983,13.107149999999999,0.955,0.95,True
1024,fp32,8192,worst,1,512,23.52315,25.17265,22.8672,0.934,0.908,True
1024,fp32,8192,worst,1,1024,41.902300000000004,45.77425,36.187050000000006,0.915,0.791,True
1024,fp32,16384,best,1,1,16.38235,10.82235,11.268799999999999,1.514,1.041,True
1024,fp32,16384,best,1,2,16.515150000000002,10.843200000000001,11.038350000000001,1.523,1.018,True
1024,fp32,16384,best,1,4,16.71195,11.048,11.20955,1.513,1.015,True
1024,fp32,16384,best,1,8,16.75195,11.08475,11.44795,1.511,1.033,True
1024,fp32,16384,best,1,16,17.16315,11.456,11.79195,1.498,1.029,True
1024,fp32,16384,best,1,32,17.532700000000002,11.827200000000001,12.172799999999999,1.482,1.029,True
1024,fp32,16384,best,1,64,17.93275,12.14235,12.5488,1.477,1.033,True
1024,fp32,16384,best,1,128,18.937549999999998,13.0272,13.47035,1.454,1.034,True
1024,fp32,16384,best,1,256,25.63355,16.0303,19.56315,1.599,1.22,True
1024,fp32,16384,best,1,512,47.28145,29.4799,35.2335,1.604,1.195,True
1024,fp32,16384,best,1,1024,82.96775,52.0368,56.488,1.594,1.086,True
1024,fp32,16384,worst,1,1,10.64955,11.2879,10.1136,0.943,0.896,True
1024,fp32,16384,worst,1,2,10.63035,11.248,10.2384,0.945,0.91,True
1024,fp32,16384,worst,1,4,10.53915,11.216,10.0256,0.94,0.894,True
1024,fp32,16384,worst,1,8,10.6303,11.3664,10.140799999999999,0.935,0.892,True
1024,fp32,16384,worst,1,16,10.6944,11.39035,10.20635,0.939,0.896,True
1024,fp32,16384,worst,1,32,11.0462,11.71515,10.476799999999999,0.943,0.894,True
1024,fp32,16384,worst,1,64,11.527899999999999,12.13275,10.92,0.95,0.9,True
1024,fp32,16384,worst,1,128,12.4239,12.923200000000001,11.816,0.961,0.914,True
1024,fp32,16384,worst,1,256,15.232,15.80955,15.6591,0.963,0.99,True
1024,fp32,16384,worst,1,512,27.4911,29.1071,28.01275,0.944,0.962,True
1024,fp32,16384,worst,1,1024,49.75665,51.79025,44.89905,0.961,0.867,True
1024,fp32,32768,best,1,1,22.761599999999998,12.183950000000001,13.60155,1.868,1.116,True
1024,fp32,32768,best,1,2,22.92465,12.4032,13.6591,1.848,1.101,True
1024,fp32,32768,best,1,4,22.891150000000003,12.33915,13.9472,1.855,1.13,True
1024,fp32,32768,best,1,8,23.05595,12.475200000000001,14.1407,1.848,1.134,True
1024,fp32,32768,best,1,16,23.5103,12.9296,14.3632,1.818,1.111,True
1024,fp32,32768,best,1,32,23.93435,13.329600000000001,14.74715,1.796,1.106,True
1024,fp32,32768,best,1,64,24.635150000000003,13.89115,15.443200000000001,1.773,1.112,True
1024,fp32,32768,best,1,128,25.868650000000002,14.89275,16.6495,1.737,1.118,True
1024,fp32,32768,best,1,256,35.6383,20.287950000000002,25.92795,1.757,1.278,True
1024,fp32,32768,best,1,512,66.90705,37.716699999999996,51.68145,1.774,1.37,True
1024,fp32,32768,best,1,1024,114.131,64.5616,79.6062,1.768,1.233,True
1024,fp32,32768,worst,1,1,17.02235,13.20635,11.931149999999999,1.289,0.903,True
1024,fp32,32768,worst,1,2,16.564700000000002,12.8672,11.663950000000002,1.287,0.906,True
1024,fp32,32768,worst,1,4,16.7456,13.0624,11.683200000000001,1.282,0.894,True
1024,fp32,32768,worst,1,8,16.82235,13.0559,11.7488,1.288,0.9,True
1024,fp32,32768,worst,1,16,16.9728,13.17595,11.865549999999999,1.288,0.901,True
1024,fp32,32768,worst,1,32,17.3135,13.476799999999999,12.2592,1.285,0.91,True
1024,fp32,32768,worst,1,64,18.0032,14.099200000000002,12.95195,1.277,0.919,True
1024,fp32,32768,worst,1,128,19.134349999999998,15.023950000000001,14.08,1.274,0.937,True
1024,fp32,32768,worst,1,256,25.81115,20.387150000000002,20.563200000000002,1.266,1.009,True
1024,fp32,32768,worst,1,512,48.334300000000006,37.9199,40.40625,1.275,1.066,True
1024,fp32,32768,worst,1,1024,82.2158,64.01105,61.98705,1.284,0.968,True
1024,fp32,65536,best,4,1,19.36955,14.62715,14.22395,1.324,0.972,True
1024,fp32,65536,best,4,2,19.3775,14.696,14.441600000000001,1.319,0.983,True
1024,fp32,65536,best,4,4,19.7856,14.97115,14.556700000000001,1.322,0.972,True
