family,group,K,N,BS,isl,ship_us,h1_us,kb_us,full_us,ship_h1,ship_kb,ship_full,exact_all
synth,worst,512,8192,1,,9.47,9.48,9.46,9.45,0.9992,1.0007,1.0022,T/T/T/T
synth,worst,512,16384,1,,10.31,10.38,10.30,10.31,0.9934,1.0009,1.0002,T/T/T/T
synth,worst,512,32768,1,,12.52,12.53,12.54,12.57,0.9994,0.9987,0.9964,T/T/T/T
synth,worst,512,65536,1,,13.09,13.00,13.08,12.93,1.0064,1.0010,1.0121,T/T/T/T
synth,worst,512,131072,1,,13.62,13.97,13.59,13.95,0.9746,1.0020,0.9761,T/T/T/T
synth,worst,512,262144,1,,16.72,16.93,16.71,16.94,0.9879,1.0010,0.9871,T/T/T/T
synth,worst,512,524288,1,,19.51,19.25,19.57,19.21,1.0134,0.9967,1.0153,T/T/T/T
synth,worst,512,1048576,1,,26.13,25.84,26.15,25.91,1.0113,0.9991,1.0082,T/T/T/T
synth,worst,1024,4096,1,,9.42,9.18,9.25,9.17,1.0258,1.0182,1.0267,T/T/T/T
synth,worst,1024,8192,1,,10.26,10.34,10.32,10.34,0.9917,0.9943,0.9920,T/T/T/T
synth,worst,1024,16384,1,,11.21,11.24,11.20,11.20,0.9974,1.0017,1.0010,T/T/T/T
synth,worst,1024,32768,1,,12.73,12.83,12.73,12.79,0.9924,0.9996,0.9951,T/T/T/T
synth,worst,1024,65536,1,,14.79,14.57,14.73,14.57,1.0150,1.0041,1.0154,T/T/T/T
synth,worst,1024,131072,1,,15.13,15.35,15.08,15.42,0.9856,1.0035,0.9812,T/T/T/T
synth,worst,1024,262144,1,,17.40,17.60,17.39,17.56,0.9889,1.0009,0.9910,T/T/T/T
synth,worst,1024,524288,1,,20.55,20.96,20.53,21.02,0.9803,1.0009,0.9776,T/T/T/T
synth,worst,1024,1048576,1,,27.50,27.03,27.53,27.02,1.0173,0.9990,1.0177,T/T/T/T
synth,worst,2048,8192,1,,11.93,11.96,10.96,11.06,0.9976,1.0885,1.0787,T/T/T/T
synth,worst,2048,16384,1,,13.17,13.17,12.24,12.25,1.0000,1.0766,1.0756,T/T/T/T
synth,worst,2048,32768,1,,16.46,16.44,14.88,14.90,1.0009,1.1064,1.1045,T/T/T/T
synth,worst,2048,65536,1,,16.88,16.74,15.97,15.81,1.0080,1.0564,1.0673,T/T/T/T
synth,worst,2048,131072,1,,17.84,17.94,17.34,17.11,0.9942,1.0290,1.0424,T/T/T/T
synth,worst,2048,262144,1,,20.88,20.83,20.40,20.20,1.0022,1.0234,1.0335,T/T/T/T
synth,worst,2048,524288,1,,23.95,23.72,23.50,23.28,1.0094,1.0189,1.0284,T/T/T/T
synth,worst,2048,1048576,1,,30.53,30.27,30.09,29.77,1.0087,1.0147,1.0257,T/T/T/T
