uuid,model,cs,N,K,band,base_us,v1_us,ratio
pro_32k_L16,pro,1,8195,1024,32k-1M,10.266,9.086,1.1298
pro_32k_L18,pro,1,8195,1024,32k-1M,10.418,9.197,1.1327
pro_32k_L20,pro,1,8195,1024,32k-1M,9.803,8.733,1.1226
pro_32k_L22,pro,1,8195,1024,32k-1M,10.665,9.374,1.1377
pro_32k_L24,pro,1,8195,1024,32k-1M,9.938,8.845,1.1236
pro_32k_L26,pro,1,8195,1024,32k-1M,11.267,9.896,1.1386
pro_32k_L28,pro,1,8195,1024,32k-1M,10.07,8.843,1.1388
pro_32k_L30,pro,1,8195,1024,32k-1M,11.229,9.981,1.125
pro_32k_L32,pro,1,8195,1024,32k-1M,11.445,10.01,1.1434
pro_32k_L34,pro,1,8195,1024,32k-1M,9.891,8.83,1.1201
pro_32k_L36,pro,1,8195,1024,32k-1M,10.963,9.699,1.1303
pro_32k_L38,pro,1,8195,1024,32k-1M,10.453,9.166,1.1403
pro_32k_L40,pro,1,8195,1024,32k-1M,11.256,10.139,1.1101
pro_32k_L42,pro,1,8195,1024,32k-1M,10.814,9.525,1.1354
pro_32k_L44,pro,1,8195,1024,32k-1M,10.061,8.752,1.1495
pro_32k_L46,pro,1,8195,1024,32k-1M,9.977,8.806,1.133
pro_32k_L48,pro,1,8195,1024,32k-1M,10.746,9.456,1.1364
pro_32k_L50,pro,1,8195,1024,32k-1M,10.03,8.882,1.1293
pro_32k_L52,pro,1,8195,1024,32k-1M,10.091,8.925,1.1307
pro_32k_L54,pro,1,8195,1024,32k-1M,9.872,8.706,1.134
pro_32k_L56,pro,1,8195,1024,32k-1M,10.11,8.934,1.1316
pro_32k_L58,pro,1,8195,1024,32k-1M,9.837,8.71,1.1293
pro_32k_L60,pro,1,8195,1024,32k-1M,12.597,10.49,1.2009
pro_4k_L02,pro,1,1027,1024,4k-32k,6.29,6.336,0.9927
pro_4k_L04,pro,1,1027,1024,4k-32k,10.816,8.688,1.2449
pro_4k_L06,pro,1,1027,1024,4k-32k,10.904,8.562,1.2736
pro_4k_L08,pro,1,1027,1024,4k-32k,10.827,8.526,1.2698
pro_4k_L10,pro,1,1027,1024,4k-32k,10.728,8.502,1.2618
pro_4k_L12,pro,1,1027,1024,4k-32k,10.89,8.709,1.2504
pro_4k_L14,pro,1,1027,1024,4k-32k,10.891,8.702,1.2515
pro_4k_L16,pro,1,1027,1024,4k-32k,6.418,6.488,0.9892
pro_4k_L18,pro,1,1027,1024,4k-32k,10.909,8.664,1.2591
