uuid,model,cs,N,K,band,base_us,v1_us,ratio
v32_16k_L16,v32,1,16399,2048,4k-32k,12.648,11.669,1.0839
v32_16k_L17,v32,1,16399,2048,4k-32k,13.038,12.416,1.0502
v32_16k_L18,v32,1,16399,2048,4k-32k,15.11,14.368,1.0517
v32_16k_L19,v32,1,16399,2048,4k-32k,12.414,11.76,1.0556
v32_16k_L20,v32,1,16399,2048,4k-32k,12.568,11.88,1.0579
v32_16k_L21,v32,1,16399,2048,4k-32k,14.155,12.451,1.1369
v32_16k_L22,v32,1,16399,2048,4k-32k,12.576,11.723,1.0727
v32_16k_L23,v32,1,16399,2048,4k-32k,12.366,11.738,1.0536
v32_16k_L24,v32,1,16399,2048,4k-32k,12.354,11.618,1.0633
v32_16k_L25,v32,1,16399,2048,4k-32k,13.2,12.08,1.0927
v32_16k_L26,v32,1,16399,2048,4k-32k,12.49,11.702,1.0673
v32_16k_L27,v32,1,16399,2048,4k-32k,12.765,12.107,1.0543
v32_16k_L28,v32,1,16399,2048,4k-32k,12.901,11.912,1.083
v32_16k_L29,v32,1,16399,2048,4k-32k,13.266,12.442,1.0662
v32_16k_L30,v32,1,16399,2048,4k-32k,12.19,11.181,1.0903
v32_16k_L31,v32,1,16399,2048,4k-32k,12.885,11.987,1.0749
v32_16k_L32,v32,1,16399,2048,4k-32k,12.939,12.019,1.0765
v32_16k_L33,v32,1,16399,2048,4k-32k,13.197,12.496,1.0561
v32_16k_L34,v32,1,16399,2048,4k-32k,13.299,12.4,1.0725
v32_16k_L35,v32,1,16399,2048,4k-32k,13.384,12.426,1.0771
v32_16k_L36,v32,1,16399,2048,4k-32k,12.602,11.706,1.0765
v32_16k_L37,v32,1,16399,2048,4k-32k,12.402,11.606,1.0685
v32_16k_L38,v32,1,16399,2048,4k-32k,13.432,11.85,1.1335
v32_16k_L39,v32,1,16399,2048,4k-32k,12.31,11.715,1.0508
v32_16k_L40,v32,1,16399,2048,4k-32k,12.413,11.357,1.093
v32_16k_L41,v32,1,16399,2048,4k-32k,15.098,14.192,1.0638
v32_16k_L42,v32,1,16399,2048,4k-32k,15.144,14.365,1.0542
v32_16k_L43,v32,1,16399,2048,4k-32k,12.821,11.907,1.0767
v32_16k_L44,v32,1,16399,2048,4k-32k,15.192,14.309,1.0617
v32_16k_L45,v32,1,16399,2048,4k-32k,15.198,14.221,1.0687
v32_16k_L46,v32,1,16399,2048,4k-32k,14.032,12.23,1.1473
v32_16k_L47,v32,1,16399,2048,4k-32k,12.586,11.654,1.0799
v32_16k_L48,v32,1,16399,2048,4k-32k,12.686,11.813,1.074
v32_16k_L49,v32,1,16399,2048,4k-32k,13.045,12.246,1.0652
v32_16k_L50,v32,1,16399,2048,4k-32k,13.085,12.317,1.0624
v32_16k_L51,v32,1,16399,2048,4k-32k,13.162,12.432,1.0587
v32_16k_L52,v32,1,16399,2048,4k-32k,16.494,14.541,1.1344
v32_16k_L53,v32,1,16399,2048,4k-32k,12.539,11.835,1.0595
v32_16k_L54,v32,1,16399,2048,4k-32k,13.314,11.781,1.1301
v32_16k_L55,v32,1,16399,2048,4k-32k,12.445,11.941,1.0422
v32_16k_L56,v32,1,16399,2048,4k-32k,12.817,12.138,1.056
v32_16k_L57,v32,1,16399,2048,4k-32k,13.469,11.787,1.1427
v32_16k_L58,v32,1,16399,2048,4k-32k,15.475,14.605,1.0596
v32_16k_L59,v32,1,16399,2048,4k-32k,12.586,12.048,1.0446
v32_16k_L60,v32,1,16399,2048,4k-32k,15.434,14.47,1.0666
v32_256k_L03,v32,8,163775,2048,32k-1M,19.952,17.361,1.1492
v32_256k_L04,v32,8,163775,2048,32k-1M,19.918,17.582,1.1329
v32_256k_L05,v32,8,163775,2048,32k-1M,20.048,18.357,1.0921
v32_256k_L06,v32,8,163775,2048,32k-1M,19.254,17.306,1.1126
v32_256k_L07,v32,8,163775,2048,32k-1M,19.48,17.675,1.1021
v32_256k_L08,v32,8,163775,2048,32k-1M,29.829,24.169,1.2341
v32_256k_L09,v32,8,163775,2048,32k-1M,19.565,18.504,1.0573
v32_256k_L10,v32,8,163775,2048,32k-1M,18.605,16.891,1.1014
v32_256k_L11,v32,8,163775,2048,32k-1M,18.357,17.602,1.0429
v32_256k_L12,v32,8,163775,2048,32k-1M,17.798,16.811,1.0587
v32_256k_L13,v32,8,163775,2048,32k-1M,19.419,17.779,1.0922
v32_256k_L14,v32,8,163775,2048,32k-1M,19.24,17.738,1.0847
v32_256k_L15,v32,8,163775,2048,32k-1M,19.211,17.528,1.096
v32_256k_L16,v32,8,163775,2048,32k-1M,18.419,17.102,1.077
v32_256k_L17,v32,8,163775,2048,32k-1M,21.905,18.086,1.2112
v32_256k_L18,v32,8,163775,2048,32k-1M,26.326,24.443,1.077
v32_256k_L19,v32,8,163775,2048,32k-1M,19.154,17.907,1.0696
v32_256k_L20,v32,8,163775,2048,32k-1M,19.069,17.315,1.1013
v32_256k_L21,v32,8,163775,2048,32k-1M,19.985,18.018,1.1092
v32_256k_L22,v32,8,163775,2048,32k-1M,25.069,23.099,1.0853
v32_256k_L23,v32,8,163775,2048,32k-1M,18.489,17.078,1.0826
v32_256k_L24,v32,8,163775,2048,32k-1M,20.843,18.651,1.1175
v32_256k_L25,v32,8,163775,2048,32k-1M,26.637,23.314,1.1425
v32_256k_L26,v32,8,163775,2048,32k-1M,19.651,17.411,1.1287
v32_256k_L27,v32,8,163775,2048,32k-1M,25.533,22.227,1.1487
v32_256k_L28,v32,8,163775,2048,32k-1M,19.034,16.904,1.126
v32_256k_L29,v32,8,163775,2048,32k-1M,18.81,16.827,1.1178
v32_256k_L30,v32,8,163775,2048,32k-1M,19.773,17.722,1.1157
v32_256k_L31,v32,8,163775,2048,32k-1M,18.946,17.115,1.1069
v32_256k_L32,v32,8,163775,2048,32k-1M,19.741,17.651,1.1184
v32_256k_L33,v32,8,163775,2048,32k-1M,19.037,17.085,1.1143
v32_256k_L34,v32,8,163775,2048,32k-1M,19.003,16.97,1.1198
v32_256k_L35,v32,8,163775,2048,32k-1M,19.642,17.577,1.1174
v32_256k_L36,v32,8,163775,2048,32k-1M,27.648,24.475,1.1296
v32_256k_L37,v32,8,163775,2048,32k-1M,19.824,17.888,1.1082
v32_256k_L38,v32,8,163775,2048,32k-1M,19.077,17.288,1.1035
v32_256k_L39,v32,8,163775,2048,32k-1M,19.331,17.262,1.1198
v32_256k_L40,v32,8,163775,2048,32k-1M,18.902,17.027,1.1101
v32_256k_L41,v32,8,163775,2048,32k-1M,18.888,16.934,1.1154
v32_256k_L42,v32,8,163775,2048,32k-1M,29.422,23.75,1.2388
v32_256k_L43,v32,8,163775,2048,32k-1M,19.493,17.218,1.1321
v32_256k_L44,v32,8,163775,2048,32k-1M,27.872,24.635,1.1314
v32_256k_L45,v32,8,163775,2048,32k-1M,19.072,17.11,1.1146
v32_256k_L46,v32,8,163775,2048,32k-1M,18.713,16.942,1.1045
v32_256k_L47,v32,8,163775,2048,32k-1M,19.557,17.427,1.1222
v32_256k_L48,v32,8,163775,2048,32k-1M,27.283,23.802,1.1463
v32_256k_L49,v32,8,163775,2048,32k-1M,27.189,24.073,1.1294
v32_256k_L50,v32,8,163775,2048,32k-1M,19.147,16.808,1.1392
v32_256k_L51,v32,8,163775,2048,32k-1M,19.331,17.227,1.1221
v32_256k_L52,v32,8,163775,2048,32k-1M,26.546,23.77,1.1168
v32_256k_L53,v32,8,163775,2048,32k-1M,26.841,23.592,1.1377
v32_256k_L54,v32,8,163775,2048,32k-1M,27.976,25.078,1.1155
v32_256k_L55,v32,8,163775,2048,32k-1M,27.008,24.034,1.1238
v32_256k_L56,v32,8,163775,2048,32k-1M,27.6,24.478,1.1275
v32_256k_L57,v32,8,163775,2048,32k-1M,19.067,17.126,1.1133
v32_256k_L58,v32,8,163775,2048,32k-1M,26.693,23.742,1.1243
v32_256k_L59,v32,8,163775,2048,32k-1M,27.421,24.344,1.1264
v32_256k_L60,v32,8,163775,2048,32k-1M,27.693,24.457,1.1323
v32_32k_L03,v32,1,32783,2048,32k-1M,16.131,14.376,1.1221
v32_32k_L04,v32,1,32783,2048,32k-1M,16.002,14.541,1.1005
v32_32k_L05,v32,1,32783,2048,32k-1M,15.141,14.165,1.0689
v32_32k_L06,v32,1,32783,2048,32k-1M,14.803,13.889,1.0658
v32_32k_L07,v32,1,32783,2048,32k-1M,15.275,14.432,1.0584
v32_32k_L08,v32,1,32783,2048,32k-1M,19.371,18.155,1.067
v32_32k_L09,v32,1,32783,2048,32k-1M,15.891,14.877,1.0682
v32_32k_L10,v32,1,32783,2048,32k-1M,15.403,14.427,1.0677
v32_32k_L11,v32,1,32783,2048,32k-1M,15.581,15.005,1.0384
v32_32k_L12,v32,1,32783,2048,32k-1M,15.258,14.086,1.0831
v32_32k_L13,v32,1,32783,2048,32k-1M,15.12,14.291,1.058
v32_32k_L14,v32,1,32783,2048,32k-1M,15.354,14.304,1.0734
v32_32k_L15,v32,1,32783,2048,32k-1M,15.653,14.813,1.0567
v32_32k_L16,v32,1,32783,2048,32k-1M,15.466,14.723,1.0504
v32_32k_L17,v32,1,32783,2048,32k-1M,15.83,14.934,1.06
v32_32k_L18,v32,1,32783,2048,32k-1M,15.056,14.144,1.0645
v32_32k_L19,v32,1,32783,2048,32k-1M,15.258,14.267,1.0694
v32_32k_L20,v32,1,32783,2048,32k-1M,15.947,14.88,1.0717
v32_32k_L21,v32,1,32783,2048,32k-1M,15.363,14.496,1.0598
v32_32k_L22,v32,1,32783,2048,32k-1M,15.171,14.44,1.0506
v32_32k_L23,v32,1,32783,2048,32k-1M,15.76,15.018,1.0494
v32_32k_L24,v32,1,32783,2048,32k-1M,15.734,15.066,1.0444
v32_32k_L25,v32,1,32783,2048,32k-1M,16.066,15.251,1.0534
v32_32k_L26,v32,1,32783,2048,32k-1M,16.488,15.581,1.0582
v32_32k_L27,v32,1,32783,2048,32k-1M,16.886,15.873,1.0638
v32_32k_L28,v32,1,32783,2048,32k-1M,15.75,14.782,1.0655
v32_32k_L29,v32,1,32783,2048,32k-1M,16.035,15.35,1.0446
v32_32k_L30,v32,1,32783,2048,32k-1M,15.069,14.118,1.0673
v32_32k_L31,v32,1,32783,2048,32k-1M,16.096,15.307,1.0515
v32_32k_L32,v32,1,32783,2048,32k-1M,16.512,15.675,1.0534
v32_32k_L33,v32,1,32783,2048,32k-1M,18.433,16.318,1.1296
v32_32k_L34,v32,1,32783,2048,32k-1M,16.555,15.541,1.0653
v32_32k_L35,v32,1,32783,2048,32k-1M,15.203,14.672,1.0362
v32_32k_L36,v32,1,32783,2048,32k-1M,15.665,14.538,1.0776
v32_32k_L37,v32,1,32783,2048,32k-1M,15.17,14.413,1.0525
v32_32k_L38,v32,1,32783,2048,32k-1M,15.397,14.693,1.0479
v32_32k_L39,v32,1,32783,2048,32k-1M,15.795,14.933,1.0578
v32_32k_L40,v32,1,32783,2048,32k-1M,15.057,14.253,1.0565
v32_32k_L41,v32,1,32783,2048,32k-1M,16.152,14.414,1.1205
v32_32k_L42,v32,1,32783,2048,32k-1M,15.094,14.317,1.0543
v32_32k_L43,v32,1,32783,2048,32k-1M,16.811,15.123,1.1116
v32_32k_L44,v32,1,32783,2048,32k-1M,15.338,14.301,1.0725
v32_32k_L45,v32,1,32783,2048,32k-1M,15.421,14.389,1.0717
v32_32k_L46,v32,1,32783,2048,32k-1M,17.589,16.421,1.0711
v32_32k_L47,v32,1,32783,2048,32k-1M,16.483,15.232,1.0821
v32_32k_L48,v32,1,32783,2048,32k-1M,15.134,14.187,1.0668
v32_32k_L49,v32,1,32783,2048,32k-1M,15.648,14.91,1.0495
v32_32k_L50,v32,1,32783,2048,32k-1M,16.021,14.872,1.0772
v32_32k_L51,v32,1,32783,2048,32k-1M,15.79,14.758,1.0699
v32_32k_L52,v32,1,32783,2048,32k-1M,15.93,14.707,1.0831
v32_32k_L53,v32,1,32783,2048,32k-1M,15.312,14.39,1.064
v32_32k_L54,v32,1,32783,2048,32k-1M,15.942,14.55,1.0957
v32_32k_L55,v32,1,32783,2048,32k-1M,15.221,14.418,1.0557
v32_32k_L56,v32,1,32783,2048,32k-1M,14.907,14.254,1.0458
v32_32k_L57,v32,1,32783,2048,32k-1M,15.253,14.249,1.0704
v32_32k_L58,v32,1,32783,2048,32k-1M,18.272,17.707,1.0319
v32_32k_L59,v32,1,32783,2048,32k-1M,15.63,14.761,1.0589
v32_32k_L60,v32,1,32783,2048,32k-1M,19.136,18.093,1.0577
v32_4k_L03,v32,1,4111,2048,4k-32k,13.15,11.888,1.1062
v32_4k_L04,v32,1,4111,2048,4k-32k,13.229,12.168,1.0872
v32_4k_L05,v32,1,4111,2048,4k-32k,12.477,11.49,1.0859
v32_4k_L06,v32,1,4111,2048,4k-32k,12.606,11.714,1.0762
v32_4k_L07,v32,1,4111,2048,4k-32k,12.83,11.738,1.0931
v32_4k_L08,v32,1,4111,2048,4k-32k,13.274,12.331,1.0764
v32_4k_L09,v32,1,4111,2048,4k-32k,10.117,9.154,1.1052
v32_4k_L10,v32,1,4111,2048,4k-32k,13.162,12.301,1.07
v32_4k_L11,v32,1,4111,2048,4k-32k,12.624,12.014,1.0507
v32_4k_L12,v32,1,4111,2048,4k-32k,12.598,11.706,1.0763
v32_4k_L13,v32,1,4111,2048,4k-32k,13.4,11.557,1.1595
v32_4k_L14,v32,1,4111,2048,4k-32k,13.04,12.08,1.0795
v32_4k_L15,v32,1,4111,2048,4k-32k,13.79,11.89,1.1599
v32_4k_L16,v32,1,4111,2048,4k-32k,12.75,11.832,1.0776
v32_4k_L17,v32,1,4111,2048,4k-32k,10.158,9.192,1.1051
v32_4k_L18,v32,1,4111,2048,4k-32k,13.144,12.264,1.0718
v32_4k_L19,v32,1,4111,2048,4k-32k,12.861,12.107,1.0622
v32_4k_L20,v32,1,4111,2048,4k-32k,10.888,9.309,1.1697
v32_4k_L21,v32,1,4111,2048,4k-32k,13.011,12.074,1.0777
v32_4k_L22,v32,1,4111,2048,4k-32k,12.744,11.765,1.0832
v32_4k_L23,v32,1,4111,2048,4k-32k,9.941,9.178,1.0832
v32_4k_L24,v32,1,4111,2048,4k-32k,10.149,8.962,1.1325
v32_4k_L25,v32,1,4111,2048,4k-32k,13.648,11.782,1.1583
v32_4k_L26,v32,1,4111,2048,4k-32k,10.269,9.485,1.0827
v32_4k_L27,v32,1,4111,2048,4k-32k,10.525,9.482,1.11
v32_4k_L28,v32,1,4111,2048,4k-32k,10.274,9.714,1.0577
v32_4k_L29,v32,1,4111,2048,4k-32k,10.261,9.331,1.0996
v32_4k_L30,v32,1,4111,2048,4k-32k,10.4,9.587,1.0848
v32_4k_L31,v32,1,4111,2048,4k-32k,10.192,9.426,1.0813
v32_4k_L32,v32,1,4111,2048,4k-32k,11.07,9.408,1.1767
v32_4k_L33,v32,1,4111,2048,4k-32k,10.115,9.154,1.1051
v32_4k_L34,v32,1,4111,2048,4k-32k,10.221,9.184,1.1129
v32_4k_L35,v32,1,4111,2048,4k-32k,10.12,9.067,1.1161
v32_4k_L36,v32,1,4111,2048,4k-32k,12.766,11.739,1.0875
v32_4k_L37,v32,1,4111,2048,4k-32k,10.928,9.269,1.179
v32_4k_L38,v32,1,4111,2048,4k-32k,12.91,12.201,1.0581
v32_4k_L39,v32,1,4111,2048,4k-32k,13.109,12.088,1.0844
v32_4k_L40,v32,1,4111,2048,4k-32k,12.776,11.963,1.0679
v32_4k_L41,v32,1,4111,2048,4k-32k,12.979,12.101,1.0726
v32_4k_L42,v32,1,4111,2048,4k-32k,12.677,11.987,1.0575
v32_4k_L43,v32,1,4111,2048,4k-32k,13.36,12.355,1.0813
v32_4k_L44,v32,1,4111,2048,4k-32k,12.592,11.544,1.0908
v32_4k_L45,v32,1,4111,2048,4k-32k,12.781,11.557,1.1059
v32_4k_L46,v32,1,4111,2048,4k-32k,13.171,12.288,1.0719
v32_4k_L47,v32,1,4111,2048,4k-32k,9.931,9.197,1.0798
v32_4k_L48,v32,1,4111,2048,4k-32k,12.914,11.909,1.0844
v32_4k_L49,v32,1,4111,2048,4k-32k,12.736,11.994,1.0619
v32_4k_L50,v32,1,4111,2048,4k-32k,12.686,11.637,1.0902
v32_4k_L51,v32,1,4111,2048,4k-32k,13.014,12.243,1.063
v32_4k_L52,v32,1,4111,2048,4k-32k,12.909,12.062,1.0702
v32_4k_L53,v32,1,4111,2048,4k-32k,12.949,11.955,1.0831
v32_4k_L54,v32,1,4111,2048,4k-32k,13.238,12.066,1.0972
v32_4k_L55,v32,1,4111,2048,4k-32k,12.402,11.555,1.0732
v32_4k_L56,v32,1,4111,2048,4k-32k,12.64,11.803,1.0709
v32_4k_L57,v32,1,4111,2048,4k-32k,12.73,12.109,1.0513
v32_4k_L58,v32,1,4111,2048,4k-32k,12.896,12.138,1.0625
v32_4k_L59,v32,1,4111,2048,4k-32k,12.994,11.923,1.0898
v32_4k_L60,v32,1,4111,2048,4k-32k,12.856,11.83,1.0867
v32_64k_L03,v32,4,65551,2048,32k-1M,17.102,15.635,1.0938
v32_64k_L04,v32,4,65551,2048,32k-1M,17.749,15.731,1.1283
v32_64k_L05,v32,4,65551,2048,32k-1M,18.184,15.854,1.1469
v32_64k_L06,v32,4,65551,2048,32k-1M,16.635,15.306,1.0869
v32_64k_L07,v32,4,65551,2048,32k-1M,16.776,15.899,1.0551
v32_64k_L08,v32,4,65551,2048,32k-1M,23.445,21.63,1.0839
v32_64k_L09,v32,4,65551,2048,32k-1M,16.802,15.974,1.0518
v32_64k_L10,v32,4,65551,2048,32k-1M,17.137,15.888,1.0786
v32_64k_L11,v32,4,65551,2048,32k-1M,17.05,15.802,1.079
v32_64k_L12,v32,4,65551,2048,32k-1M,24.061,22.341,1.077
v32_64k_L13,v32,4,65551,2048,32k-1M,16.978,15.482,1.0966
v32_64k_L14,v32,4,65551,2048,32k-1M,16.998,15.976,1.064
v32_64k_L15,v32,4,65551,2048,32k-1M,17.56,16.384,1.0718
v32_64k_L16,v32,4,65551,2048,32k-1M,18.373,16.051,1.1446
v32_64k_L17,v32,4,65551,2048,32k-1M,18.422,16.131,1.142
v32_64k_L18,v32,4,65551,2048,32k-1M,22.845,21.558,1.0597
v32_64k_L19,v32,4,65551,2048,32k-1M,17.185,16.034,1.0718
v32_64k_L20,v32,4,65551,2048,32k-1M,18.024,16.341,1.103
v32_64k_L21,v32,4,65551,2048,32k-1M,20.706,17.87,1.1587
v32_64k_L22,v32,4,65551,2048,32k-1M,17.739,16.579,1.07
v32_64k_L23,v32,4,65551,2048,32k-1M,19.341,17.941,1.078
v32_64k_L24,v32,4,65551,2048,32k-1M,24.213,22.731,1.0652
v32_64k_L25,v32,4,65551,2048,32k-1M,21.248,20.184,1.0527
v32_64k_L26,v32,4,65551,2048,32k-1M,24.459,23.397,1.0454
v32_64k_L27,v32,4,65551,2048,32k-1M,24.157,22.973,1.0515
v32_64k_L28,v32,4,65551,2048,32k-1M,24.55,23.31,1.0532
v32_64k_L29,v32,4,65551,2048,32k-1M,23.995,22.672,1.0584
v32_64k_L30,v32,4,65551,2048,32k-1M,17.738,16.216,1.0938
v32_64k_L31,v32,4,65551,2048,32k-1M,22.189,21.003,1.0564
v32_64k_L32,v32,4,65551,2048,32k-1M,21.822,20.413,1.0691
v32_64k_L33,v32,4,65551,2048,32k-1M,22.181,20.957,1.0584
v32_64k_L34,v32,4,65551,2048,32k-1M,20.834,19.128,1.0892
v32_64k_L35,v32,4,65551,2048,32k-1M,19.253,17.774,1.0832
v32_64k_L36,v32,4,65551,2048,32k-1M,20.606,17.704,1.1639
v32_64k_L37,v32,4,65551,2048,32k-1M,17.758,16.47,1.0782
v32_64k_L38,v32,4,65551,2048,32k-1M,17.936,16.686,1.0749
v32_64k_L39,v32,4,65551,2048,32k-1M,17.819,16.56,1.076
v32_64k_L40,v32,4,65551,2048,32k-1M,19.941,18.222,1.0943
v32_64k_L41,v32,4,65551,2048,32k-1M,16.822,15.682,1.0727
v32_64k_L42,v32,4,65551,2048,32k-1M,17.827,16.36,1.0897
v32_64k_L43,v32,4,65551,2048,32k-1M,18.169,16.789,1.0822
v32_64k_L44,v32,4,65551,2048,32k-1M,23.542,21.885,1.0757
v32_64k_L45,v32,4,65551,2048,32k-1M,17.906,16.522,1.0838
v32_64k_L46,v32,4,65551,2048,32k-1M,18.442,17.043,1.0821
v32_64k_L47,v32,4,65551,2048,32k-1M,24.363,22.856,1.0659
v32_64k_L48,v32,4,65551,2048,32k-1M,18.122,16.643,1.0888
v32_64k_L49,v32,4,65551,2048,32k-1M,17.918,16.674,1.0747
v32_64k_L50,v32,4,65551,2048,32k-1M,19.944,18.096,1.1021
v32_64k_L51,v32,4,65551,2048,32k-1M,18.046,16.768,1.0762
v32_64k_L52,v32,4,65551,2048,32k-1M,16.786,15.291,1.0977
v32_64k_L53,v32,4,65551,2048,32k-1M,17.678,16.515,1.0704
v32_64k_L54,v32,4,65551,2048,32k-1M,17.122,15.755,1.0867
v32_64k_L55,v32,4,65551,2048,32k-1M,16.982,16.002,1.0613
v32_64k_L56,v32,4,65551,2048,32k-1M,22.75,21.296,1.0683
v32_64k_L57,v32,4,65551,2048,32k-1M,17.046,15.806,1.0784
v32_64k_L58,v32,4,65551,2048,32k-1M,25.317,22.358,1.1323
v32_64k_L59,v32,4,65551,2048,32k-1M,22.901,21.419,1.0692
v32_64k_L60,v32,4,65551,2048,32k-1M,23.573,22.21,1.0614
v32_8k_L03,v32,1,8207,2048,4k-32k,11.978,9.998,1.198
v32_8k_L04,v32,1,8207,2048,4k-32k,11.336,10.534,1.0761
v32_8k_L05,v32,1,8207,2048,4k-32k,11.552,10.39,1.1118
v32_8k_L06,v32,1,8207,2048,4k-32k,13.713,12.618,1.0869
v32_8k_L07,v32,1,8207,2048,4k-32k,15.078,13.304,1.1334
v32_8k_L08,v32,1,8207,2048,4k-32k,15.509,13.331,1.1633
v32_8k_L09,v32,1,8207,2048,4k-32k,11.414,10.47,1.0902
v32_8k_L10,v32,1,8207,2048,4k-32k,11.435,10.486,1.0905
v32_8k_L11,v32,1,8207,2048,4k-32k,11.754,10.848,1.0835
v32_8k_L12,v32,1,8207,2048,4k-32k,14.41,13.243,1.0881
v32_8k_L13,v32,1,8207,2048,4k-32k,14.256,13.139,1.085
v32_8k_L14,v32,1,8207,2048,4k-32k,14.144,13.114,1.0786
v32_8k_L15,v32,1,8207,2048,4k-32k,11.757,10.466,1.1234
v32_8k_L16,v32,1,8207,2048,4k-32k,14.443,13.227,1.0919
v32_8k_L17,v32,1,8207,2048,4k-32k,11.88,10.888,1.0911
v32_8k_L18,v32,1,8207,2048,4k-32k,14.227,13.269,1.0722
v32_8k_L19,v32,1,8207,2048,4k-32k,11.696,10.752,1.0878
v32_8k_L20,v32,1,8207,2048,4k-32k,11.942,10.659,1.1204
v32_8k_L21,v32,1,8207,2048,4k-32k,11.707,10.642,1.1001
v32_8k_L22,v32,1,8207,2048,4k-32k,14.297,13.146,1.0876
v32_8k_L23,v32,1,8207,2048,4k-32k,12.541,10.365,1.2099
v32_8k_L24,v32,1,8207,2048,4k-32k,11.789,10.616,1.1105
v32_8k_L25,v32,1,8207,2048,4k-32k,11.478,10.35,1.109
v32_8k_L26,v32,1,8207,2048,4k-32k,11.514,10.462,1.1005
v32_8k_L27,v32,1,8207,2048,4k-32k,11.542,10.606,1.0883
v32_8k_L28,v32,1,8207,2048,4k-32k,12.125,10.901,1.1123
v32_8k_L29,v32,1,8207,2048,4k-32k,11.448,10.326,1.1086
v32_8k_L30,v32,1,8207,2048,4k-32k,11.586,10.419,1.1119
v32_8k_L31,v32,1,8207,2048,4k-32k,11.557,10.731,1.0769
v32_8k_L32,v32,1,8207,2048,4k-32k,11.325,10.4,1.0889
v32_8k_L33,v32,1,8207,2048,4k-32k,15.365,13.294,1.1557
v32_8k_L34,v32,1,8207,2048,4k-32k,12.077,10.83,1.1151
v32_8k_L35,v32,1,8207,2048,4k-32k,11.936,10.698,1.1158
v32_8k_L36,v32,1,8207,2048,4k-32k,14.214,13.115,1.0838
v32_8k_L37,v32,1,8207,2048,4k-32k,11.619,10.306,1.1275
v32_8k_L38,v32,1,8207,2048,4k-32k,14.702,13.459,1.0924
v32_8k_L39,v32,1,8207,2048,4k-32k,12.361,10.49,1.1785
v32_8k_L40,v32,1,8207,2048,4k-32k,14.128,13.118,1.077
v32_8k_L41,v32,1,8207,2048,4k-32k,12.642,10.694,1.1821
v32_8k_L42,v32,1,8207,2048,4k-32k,14.414,13.379,1.0774
v32_8k_L43,v32,1,8207,2048,4k-32k,11.782,10.659,1.1054
v32_8k_L44,v32,1,8207,2048,4k-32k,14.29,13.272,1.0767
v32_8k_L45,v32,1,8207,2048,4k-32k,14.058,13.034,1.0786
v32_8k_L46,v32,1,8207,2048,4k-32k,14.211,13.134,1.082
v32_8k_L47,v32,1,8207,2048,4k-32k,11.515,10.462,1.1006
v32_8k_L48,v32,1,8207,2048,4k-32k,11.571,10.37,1.1159
v32_8k_L49,v32,1,8207,2048,4k-32k,13.989,13.029,1.0737
v32_8k_L50,v32,1,8207,2048,4k-32k,11.749,10.648,1.1034
v32_8k_L51,v32,1,8207,2048,4k-32k,14.758,12.966,1.1382
v32_8k_L52,v32,1,8207,2048,4k-32k,14.32,13.221,1.0831
v32_8k_L53,v32,1,8207,2048,4k-32k,14.082,13.163,1.0698
v32_8k_L54,v32,1,8207,2048,4k-32k,14.213,13.114,1.0838
v32_8k_L55,v32,1,8207,2048,4k-32k,14.395,13.24,1.0873
v32_8k_L56,v32,1,8207,2048,4k-32k,14.411,13.205,1.0914
v32_8k_L57,v32,1,8207,2048,4k-32k,14.582,13.466,1.0829
v32_8k_L58,v32,1,8207,2048,4k-32k,15.426,13.125,1.1753
v32_8k_L59,v32,1,8207,2048,4k-32k,14.603,13.346,1.0942
v32_8k_L60,v32,1,8207,2048,4k-32k,14.067,13.104,1.0735
