family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,pro,1024,bf16,32771,1,128k,0.326171875,12.224,12.53,12.88,0.9756,0.9491,0.9728,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,2,128k,0.326171875,12.21,12.507,12.738,0.9762,0.9585,0.9819,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,4,128k,0.326171875,12.162,12.592,12.898,0.9658,0.9429,0.9763,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,8,128k,0.326171875,12.157,12.63,12.96,0.9625,0.938,0.9746,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,16,128k,0.326171875,12.29,12.722,13.026,0.966,0.9435,0.9767,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,32,128k,0.326171875,12.494,12.882,13.16,0.9699,0.9494,0.9788,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,64,128k,0.326171875,12.859,13.282,13.584,0.9682,0.9466,0.9777,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,128,128k,0.326171875,13.64,13.955,14.299,0.9774,0.9539,0.9759,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,32771,256,128k,0.326171875,18.187,18.894,19.293,0.9626,0.9427,0.9793,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,32771,512,128k,0.326171875,30.797,31.955,32.76,0.9637,0.9401,0.9754,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,32771,1024,128k,0.326171875,48.315,50.318,51.574,0.9602,0.9368,0.9756,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,65539,1,256k,0.357421875,14.072,13.846,14.173,1.0163,0.9929,0.977,True,True,True,cs4/T512/mb1/v128
real,bs,,pro,1024,bf16,65539,2,256k,0.357421875,14.219,13.979,14.358,1.0172,0.9903,0.9736,True,True,True,cs4/T512/mb1/v128
