family,sweep,scenario,model,K,dtype,N,BS,isl,hit,base,pr,vs,pr_vs_base,vs_vs_base,vs_vs_pr,base_exact,pr_exact,vs_exact,launch_cfg
real,bs,,pro,1024,bf16,8195,256,32k,0.5322265625,18.824,14.79,14.493,1.2727,1.2989,1.0205,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,8195,512,32k,0.5322265625,32.298,26.077,25.79,1.2386,1.2523,1.0111,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,8195,1024,32k,0.5322265625,50.182,39.33,39.101,1.2759,1.2834,1.0059,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,16387,1,64k,0.3115234375,11.526,10.578,10.517,1.0897,1.096,1.0058,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,16387,2,64k,0.3115234375,11.589,10.81,10.678,1.0721,1.0853,1.0123,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,16387,4,64k,0.3115234375,11.718,10.861,10.706,1.079,1.0946,1.0145,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,16387,8,64k,0.3115234375,11.811,10.902,10.739,1.0834,1.0998,1.0152,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,16387,16,64k,0.3115234375,11.854,10.949,10.726,1.0827,1.1052,1.0207,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,16387,32,64k,0.3115234375,11.907,10.981,10.923,1.0844,1.0901,1.0053,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,16387,64,64k,0.3115234375,12.04,11.213,11.114,1.0738,1.0834,1.0089,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,16387,128,64k,0.3115234375,12.539,11.597,11.533,1.0813,1.0873,1.0055,True,True,True,cs1/T512/mb1/v128
real,bs,,pro,1024,bf16,16387,256,64k,0.3115234375,16.227,14.678,14.746,1.1055,1.1005,0.9954,True,True,True,cs1/T512/mb3/v128
real,bs,,pro,1024,bf16,16387,512,64k,0.3115234375,27.467,25.254,25.418,1.0876,1.0806,0.9936,True,True,True,cs1/T512/mb3/v128
