cell,BS,arm,cold_us,warm_us,exact,speedup_cold
pro_1024k_L08,4,gvr_pr,25.117,22.4,True,
pro_1024k_L08,4,bsx,10.73,9.67,True,2.3409
pro_1024k_L08,8,gvr_pr,25.766,23.533,True,
pro_1024k_L08,8,bsx,18.454,16.371,True,1.3962
pro_1024k_L08,16,gvr_pr,26.461,23.706,True,
pro_1024k_L08,16,bsx,26.656,23.482,True,0.9927
pro_1024k_L08,32,gvr_pr,30.467,25.472,True,
pro_1024k_L08,32,bsx,42.931,38.215,True,0.7097
pro_1024k_L08,64,gvr_pr,42.605,32.211,True,
pro_1024k_L08,64,bsx,78.31,71.565,True,0.5441
pro_1024k_L08,128,gvr_pr,83.05,73.255,True,
pro_1024k_L08,128,bsx,149.133,142.503,True,0.5569
pro_1024k_L08,256,gvr_pr,154.365,131.955,True,
pro_1024k_L08,256,bsx,286.484,281.447,True,0.5388
pro_1024k_L08,512,gvr_pr,276.618,259.904,True,
pro_1024k_L08,512,bsx,557.028,551.713,True,0.4966
pro_1024k_L08,1024,gvr_pr,527.972,514.919,True,
pro_1024k_L08,1024,bsx,1102.738,1100.814,True,0.4788
pro_128k_L30,1,gvr_pr,13.997,11.194,True,
pro_128k_L30,1,bsx,8.643,8.013,True,1.6194
pro_128k_L30,2,gvr_pr,12.938,11.174,True,
pro_128k_L30,2,bsx,8.682,8.166,True,1.4902
pro_128k_L30,4,gvr_pr,13.098,11.136,True,
pro_128k_L30,4,bsx,9.085,8.518,True,1.4417
pro_128k_L30,8,gvr_pr,13.174,11.226,True,
pro_128k_L30,8,bsx,9.267,8.608,True,1.4216
pro_128k_L30,16,gvr_pr,13.437,11.514,True,
pro_128k_L30,16,bsx,14.765,13.568,True,0.9101
pro_128k_L30,32,gvr_pr,13.971,11.635,True,
pro_128k_L30,32,bsx,20.317,18.547,True,0.6877
pro_128k_L30,64,gvr_pr,14.624,11.763,True,
pro_128k_L30,64,bsx,31.68,29.075,True,0.4616
pro_128k_L30,128,gvr_pr,15.542,12.109,True,
pro_128k_L30,128,bsx,55.293,51.207,True,0.2811
pro_128k_L30,256,gvr_pr,21.376,16.691,True,
pro_128k_L30,256,bsx,102.525,95.162,True,0.2085
pro_128k_L30,512,gvr_pr,40.048,31.405,True,
pro_128k_L30,512,bsx,198.311,184.589,True,0.2019
pro_128k_L30,1024,gvr_pr,69.603,63.136,True,
pro_128k_L30,1024,bsx,390.013,387.655,True,0.1785
pro_32k_L30,1,gvr_pr,11.45,10.01,True,
pro_32k_L30,1,bsx,8.061,7.635,True,1.4204
pro_32k_L30,2,gvr_pr,11.139,9.971,True,
pro_32k_L30,2,bsx,8.128,7.77,True,1.3705
pro_32k_L30,4,gvr_pr,11.501,10.093,True,
pro_32k_L30,4,bsx,8.154,7.757,True,1.4105
pro_32k_L30,8,gvr_pr,11.303,10.189,True,
pro_32k_L30,8,bsx,8.272,7.776,True,1.3664
pro_32k_L30,16,gvr_pr,11.443,10.08,True,
pro_32k_L30,16,bsx,8.317,7.859,True,1.3759
pro_32k_L30,32,gvr_pr,11.507,10.195,True,
pro_32k_L30,32,bsx,8.435,7.808,True,1.3642
pro_32k_L30,64,gvr_pr,11.709,10.259,True,
pro_32k_L30,64,bsx,8.522,7.949,True,1.374
pro_32k_L30,128,gvr_pr,12.214,10.298,True,
pro_32k_L30,128,bsx,8.922,8.09,True,1.3691
pro_32k_L30,256,gvr_pr,14.97,12.768,True,
pro_32k_L30,256,bsx,16.019,14.823,True,0.9345
pro_32k_L30,512,gvr_pr,27.44,23.981,True,
pro_32k_L30,512,bsx,29.67,27.974,True,0.9248
pro_32k_L30,1024,gvr_pr,49.286,42.643,True,
pro_32k_L30,1024,bsx,51.818,49.402,True,0.9511
pro_4k_L30,1,gvr_pr,9.878,8.563,True,
pro_4k_L30,1,bsx,4.285,3.693,True,2.3055
pro_4k_L30,2,gvr_pr,9.645,8.518,True,
pro_4k_L30,2,bsx,4.291,3.834,True,2.2476
pro_4k_L30,4,gvr_pr,9.805,8.71,True,
pro_4k_L30,4,bsx,4.374,3.802,True,2.2414
pro_4k_L30,8,gvr_pr,9.757,8.851,True,
pro_4k_L30,8,bsx,4.442,3.795,True,2.1967
pro_4k_L30,16,gvr_pr,9.693,8.685,True,
pro_4k_L30,16,bsx,4.346,3.891,True,2.2305
pro_4k_L30,32,gvr_pr,9.655,8.813,True,
pro_4k_L30,32,bsx,4.445,3.776,True,2.172
pro_4k_L30,64,gvr_pr,9.674,8.871,True,
pro_4k_L30,64,bsx,4.461,3.878,True,2.1686
pro_4k_L30,128,gvr_pr,9.891,8.851,True,
pro_4k_L30,128,bsx,4.595,3.923,True,2.1525
pro_4k_L30,256,gvr_pr,10.909,9.92,True,
pro_4k_L30,256,bsx,7.869,6.822,True,1.3863
pro_4k_L30,512,gvr_pr,20.154,18.17,True,
pro_4k_L30,512,bsx,13.968,12.026,True,1.4428
pro_4k_L30,1024,gvr_pr,38.349,34.509,True,
pro_4k_L30,1024,bsx,24.605,21.702,True,1.5586
v32_16k_L20,1,gvr_pr,12.886,11.482,True,
v32_16k_L20,1,bsx,10.899,10.374,True,1.1823
v32_16k_L20,2,gvr_pr,12.685,11.456,True,
v32_16k_L20,2,bsx,10.877,10.49,True,1.1662
v32_16k_L20,4,gvr_pr,12.803,11.411,True,
v32_16k_L20,4,bsx,10.95,10.445,True,1.1692
v32_16k_L20,8,gvr_pr,12.896,11.552,True,
v32_16k_L20,8,bsx,11.027,10.47,True,1.1695
v32_16k_L20,16,gvr_pr,12.944,11.43,True,
v32_16k_L20,16,bsx,11.146,10.592,True,1.1614
v32_16k_L20,32,gvr_pr,13.162,11.558,True,
v32_16k_L20,32,bsx,12.051,11.181,True,1.0921
v32_16k_L20,64,gvr_pr,13.699,11.763,True,
v32_16k_L20,64,bsx,21.93,20.838,True,0.6247
v32_16k_L20,128,gvr_pr,14.445,11.859,True,
v32_16k_L20,128,bsx,38.758,36.378,True,0.3727
v32_16k_L20,256,gvr_pr,18.982,15.891,True,
v32_16k_L20,256,bsx,69.878,66.47,True,0.2716
v32_16k_L20,512,gvr_pr,35.434,30.118,True,
v32_16k_L20,512,bsx,132.752,125.37,True,0.2669
v32_16k_L20,1024,gvr_pr,63.619,54.074,True,
v32_16k_L20,1024,bsx,257.401,247.309,True,0.2472
v32_256k_L20,1,gvr_pr,20.029,17.658,True,
v32_256k_L20,1,bsx,10.79,10.24,True,1.8562
v32_256k_L20,2,gvr_pr,19.453,17.766,True,
v32_256k_L20,2,bsx,10.934,10.374,True,1.779
v32_256k_L20,4,gvr_pr,19.664,17.67,True,
v32_256k_L20,4,bsx,11.472,10.726,True,1.7141
v32_256k_L20,8,gvr_pr,21.562,18.515,True,
v32_256k_L20,8,bsx,18.653,17.062,True,1.1559
v32_256k_L20,16,gvr_pr,22.227,18.81,True,
v32_256k_L20,16,bsx,26.31,23.757,True,0.8448
v32_256k_L20,32,gvr_pr,23.322,19.059,True,
v32_256k_L20,32,bsx,41.008,37.171,True,0.5687
v32_256k_L20,64,gvr_pr,28.195,22.618,True,
v32_256k_L20,64,bsx,75.261,69.267,True,0.3746
v32_256k_L20,128,gvr_pr,44.186,28.294,True,
v32_256k_L20,128,bsx,139.136,130.31,True,0.3176
v32_256k_L20,256,gvr_pr,81.018,70.797,True,
v32_256k_L20,256,bsx,264.531,261.082,True,0.3063
v32_256k_L20,512,gvr_pr,146.89,136.787,True,
v32_256k_L20,512,bsx,520.582,517.485,True,0.2822
v32_256k_L20,1024,gvr_pr,263.69,252.64,True,
v32_256k_L20,1024,bsx,1032.381,1029.37,True,0.2554
v32_4k_L20,1,gvr_pr,11.046,9.709,True,
v32_4k_L20,1,bsx,6.998,6.246,True,1.5784
v32_4k_L20,2,gvr_pr,10.992,9.664,True,
v32_4k_L20,2,bsx,7.027,6.234,True,1.5642
v32_4k_L20,4,gvr_pr,11.101,9.722,True,
v32_4k_L20,4,bsx,7.008,6.285,True,1.584
v32_4k_L20,8,gvr_pr,11.114,9.664,True,
v32_4k_L20,8,bsx,7.155,6.291,True,1.5532
v32_4k_L20,16,gvr_pr,11.248,10.01,True,
v32_4k_L20,16,bsx,7.328,6.573,True,1.5349
v32_4k_L20,32,gvr_pr,11.382,10.176,True,
v32_4k_L20,32,bsx,7.456,6.637,True,1.5266
v32_4k_L20,64,gvr_pr,11.638,10.259,True,
v32_4k_L20,64,bsx,7.626,6.771,True,1.5262
v32_4k_L20,128,gvr_pr,12.006,10.362,True,
v32_4k_L20,128,bsx,7.891,6.88,True,1.5215
v32_4k_L20,256,gvr_pr,13.914,12.23,True,
v32_4k_L20,256,bsx,14.077,12.518,True,0.9884
v32_4k_L20,512,gvr_pr,25.645,22.976,True,
v32_4k_L20,512,bsx,26.083,23.347,True,0.9832
