cell,BS,arm,cold_us,warm_us,exact,speedup_cold
flash_1024k_L16,8,gvr_pr,21.907,19.456,True,
flash_1024k_L16,8,bsx,15.782,14.182,True,1.3881
flash_1024k_L16,16,gvr_pr,22.285,19.482,True,
flash_1024k_L16,16,bsx,28.355,25.197,True,0.7859
flash_1024k_L16,32,gvr_pr,25.334,20.301,True,
flash_1024k_L16,32,bsx,41.322,36.467,True,0.6131
flash_1024k_L16,64,gvr_pr,37.2,25.51,True,
flash_1024k_L16,64,bsx,67.891,58.791,True,0.5479
flash_1024k_L16,128,gvr_pr,63.501,53.85,True,
flash_1024k_L16,128,bsx,119.767,111.898,True,0.5302
flash_1024k_L16,256,gvr_pr,108.483,94.81,True,
flash_1024k_L16,256,bsx,215.857,213.408,True,0.5026
flash_1024k_L16,512,gvr_pr,199.638,184.871,True,
flash_1024k_L16,512,bsx,415.761,409.364,True,0.4802
flash_1024k_L16,1024,gvr_pr,378.474,365.3,True,
flash_1024k_L16,1024,bsx,812.012,806.146,True,0.4661
flash_128k_L36,8,gvr_pr,14.215,11.571,True,
flash_128k_L36,8,bsx,13.853,13.35,True,1.0261
flash_128k_L36,16,gvr_pr,13.856,11.878,True,
flash_128k_L36,16,bsx,14.096,13.491,True,0.983
flash_128k_L36,32,gvr_pr,14.458,12.192,True,
flash_128k_L36,32,bsx,14.634,13.504,True,0.988
flash_128k_L36,64,gvr_pr,15.011,12.218,True,
flash_128k_L36,64,bsx,15.51,13.83,True,0.9678
flash_128k_L36,128,gvr_pr,15.946,12.646,True,
flash_128k_L36,128,bsx,28.797,26.17,True,0.5537
flash_128k_L36,256,gvr_pr,22.202,17.645,True,
flash_128k_L36,256,bsx,54.813,50.682,True,0.405
flash_128k_L36,512,gvr_pr,41.648,33.229,True,
flash_128k_L36,512,bsx,96.199,89.018,True,0.4329
flash_128k_L36,1024,gvr_pr,73.015,66.452,True,
flash_128k_L36,1024,bsx,188.218,182.887,True,0.3879
pro_128k_L30,8,gvr_pr,14.23,11.789,True,
pro_128k_L30,8,bsx,14.138,13.574,True,1.0066
pro_128k_L30,16,gvr_pr,13.616,11.712,True,
pro_128k_L30,16,bsx,14.298,13.638,True,0.9523
pro_128k_L30,32,gvr_pr,13.987,11.859,True,
pro_128k_L30,32,bsx,14.707,13.619,True,0.951
pro_128k_L30,64,gvr_pr,14.694,11.878,True,
pro_128k_L30,64,bsx,15.654,13.933,True,0.9387
pro_128k_L30,128,gvr_pr,15.52,12.077,True,
pro_128k_L30,128,bsx,29.197,26.381,True,0.5316
