cell,BS,arm,cold_us,warm_us,exact,speedup_cold
flash_128k_L36,32,gvr_pr,15.014,12.134,True,
flash_128k_L36,32,bsx,15.52,12.09,True,0.9674
flash_128k_L36,64,gvr_pr,15.072,12.25,True,
flash_128k_L36,64,bsx,15.974,12.134,True,0.9435
flash_128k_L36,128,gvr_pr,15.965,12.57,True,
flash_128k_L36,128,bsx,16.678,12.493,True,0.9572
flash_128k_L36,256,gvr_pr,22.208,17.626,True,
flash_128k_L36,256,bsx,19.623,15.098,True,1.1318
flash_128k_L36,512,gvr_pr,41.853,33.21,True,
flash_128k_L36,512,bsx,37.008,28.775,True,1.1309
flash_128k_L36,1024,gvr_pr,73.011,66.502,True,
flash_128k_L36,1024,bsx,68.231,62.4,True,1.0701
pro_128k_L30,32,gvr_pr,14.346,11.75,True,
pro_128k_L30,32,bsx,24.573,20.832,True,0.5838
pro_128k_L30,64,gvr_pr,14.682,11.968,True,
pro_128k_L30,64,bsx,25.149,20.986,True,0.5838
pro_128k_L30,128,gvr_pr,15.51,12.007,True,
pro_128k_L30,128,bsx,25.808,21.223,True,0.601
pro_128k_L30,256,gvr_pr,21.434,16.742,True,
pro_128k_L30,256,bsx,34.736,29.555,True,0.617
pro_128k_L30,512,gvr_pr,40.214,31.264,True,
pro_128k_L30,512,bsx,65.645,56.563,True,0.6126
pro_128k_L30,1024,gvr_pr,68.467,62.97,True,
pro_128k_L30,1024,bsx,113.21,108.864,True,0.6048
v32_16k_L20,32,gvr_pr,13.296,11.52,True,
v32_16k_L20,32,bsx,22.0,19.776,True,0.6044
v32_16k_L20,64,gvr_pr,13.613,11.597,True,
v32_16k_L20,64,bsx,22.416,19.878,True,0.6073
v32_16k_L20,128,gvr_pr,14.429,11.994,True,
v32_16k_L20,128,bsx,23.254,20.211,True,0.6205
v32_16k_L20,256,gvr_pr,18.986,15.846,True,
v32_16k_L20,256,bsx,30.614,26.842,True,0.6202
v32_16k_L20,512,gvr_pr,35.354,30.061,True,
v32_16k_L20,512,bsx,56.442,50.983,True,0.6264
v32_16k_L20,1024,gvr_pr,64.24,53.709,True,
v32_16k_L20,1024,bsx,99.652,91.552,True,0.6446
v32_64k_L20,32,gvr_pr,19.808,16.768,True,
v32_64k_L20,32,bsx,66.266,61.255,True,0.2989
v32_64k_L20,64,gvr_pr,22.144,18.586,True,
v32_64k_L20,64,bsx,66.787,61.504,True,0.3316
v32_64k_L20,128,gvr_pr,22.893,18.541,True,
v32_64k_L20,128,bsx,68.096,62.061,True,0.3362
v32_64k_L20,256,gvr_pr,36.346,27.674,True,
v32_64k_L20,256,bsx,104.208,97.383,True,0.3488
v32_64k_L20,512,gvr_pr,69.309,59.251,True,
v32_64k_L20,512,bsx,201.319,197.44,True,0.3443
v32_64k_L20,1024,gvr_pr,114.394,103.264,True,
v32_64k_L20,1024,bsx,349.073,346.522,True,0.3277
v32_256k_L20,32,gvr_pr,23.446,19.008,True,
v32_256k_L20,32,bsx,35.651,25.933,True,0.6577
v32_256k_L20,64,gvr_pr,28.176,22.65,True,
v32_256k_L20,64,bsx,37.181,25.997,True,0.7578
v32_256k_L20,128,gvr_pr,44.096,28.365,True,
v32_256k_L20,128,bsx,42.643,26.285,True,1.0341
v32_256k_L20,256,gvr_pr,80.934,70.778,True,
v32_256k_L20,256,bsx,53.722,44.621,True,1.5066
v32_256k_L20,512,gvr_pr,146.867,137.574,True,
v32_256k_L20,512,bsx,96.368,86.784,True,1.524
v32_256k_L20,1024,gvr_pr,263.296,253.178,True,
v32_256k_L20,1024,bsx,176.042,165.581,True,1.4956
flash_4k_L36,32,gvr_pr,9.843,8.512,True,
flash_4k_L36,32,bsx,5.661,4.973,True,1.7388
flash_4k_L36,64,gvr_pr,9.642,8.499,True,
flash_4k_L36,64,bsx,5.642,4.986,True,1.709
flash_4k_L36,128,gvr_pr,9.862,8.851,True,
flash_4k_L36,128,bsx,5.85,4.986,True,1.686
flash_4k_L36,256,gvr_pr,10.73,9.67,True,
flash_4k_L36,256,bsx,6.355,5.671,True,1.6883
flash_4k_L36,512,gvr_pr,19.834,17.83,True,
flash_4k_L36,512,bsx,11.139,9.85,True,1.7805
flash_4k_L36,1024,gvr_pr,37.171,33.767,True,
flash_4k_L36,1024,bsx,20.326,18.336,True,1.8287
flash_32k_L36,32,gvr_pr,11.149,9.222,True,
flash_32k_L36,32,bsx,13.168,11.213,True,0.8467
flash_32k_L36,64,gvr_pr,10.95,9.344,True,
flash_32k_L36,64,bsx,13.366,11.341,True,0.8192
flash_32k_L36,128,gvr_pr,11.494,9.574,True,
flash_32k_L36,128,bsx,13.904,11.386,True,0.8267
flash_32k_L36,256,gvr_pr,13.578,11.168,True,
flash_32k_L36,256,bsx,16.15,13.715,True,0.8407
flash_32k_L36,512,gvr_pr,24.925,21.062,True,
flash_32k_L36,512,bsx,29.661,25.517,True,0.8403
flash_32k_L36,1024,gvr_pr,44.422,38.17,True,
flash_32k_L36,1024,bsx,54.672,46.554,True,0.8125
flash_1024k_L16,32,gvr_pr,25.731,20.32,True,
flash_1024k_L16,32,bsx,98.701,84.576,True,0.2607
flash_1024k_L16,64,gvr_pr,37.408,25.517,True,
flash_1024k_L16,64,bsx,101.655,84.948,True,0.368
flash_1024k_L16,128,gvr_pr,63.415,53.92,True,
flash_1024k_L16,128,bsx,128.003,119.079,True,0.4954
flash_1024k_L16,256,gvr_pr,108.493,94.503,True,
flash_1024k_L16,256,bsx,179.693,165.786,True,0.6038
flash_1024k_L16,512,gvr_pr,199.917,185.217,True,
flash_1024k_L16,512,bsx,333.659,319.585,True,0.5992
flash_1024k_L16,1024,gvr_pr,378.859,365.121,True,
flash_1024k_L16,1024,bsx,595.096,580.558,True,0.6366
pro_1024k_L08,32,gvr_pr,30.723,25.421,True,
pro_1024k_L08,32,bsx,48.429,33.555,True,0.6344
pro_1024k_L08,64,gvr_pr,42.666,32.205,True,
pro_1024k_L08,64,bsx,51.376,33.76,True,0.8305
pro_1024k_L08,128,gvr_pr,83.076,73.152,True,
pro_1024k_L08,128,bsx,57.111,47.891,True,1.4546
pro_1024k_L08,256,gvr_pr,154.727,131.962,True,
pro_1024k_L08,256,bsx,71.978,58.662,True,2.1496
pro_1024k_L08,512,gvr_pr,276.538,260.129,True,
pro_1024k_L08,512,bsx,129.213,115.386,True,2.1402
pro_1024k_L08,1024,gvr_pr,528.523,515.796,True,
pro_1024k_L08,1024,bsx,238.33,221.057,True,2.2176
