cell,BS,arm,cold_us,warm_us,exact,speedup_cold
flash_128k_L36,32,gvr_pr,15.027,12.122,True,
flash_128k_L36,32,bsx,15.648,11.994,True,0.9603
flash_128k_L36,64,gvr_pr,15.091,12.262,True,
flash_128k_L36,64,bsx,16.064,12.064,True,0.9394
flash_128k_L36,128,gvr_pr,15.971,12.608,True,
flash_128k_L36,128,bsx,16.906,12.442,True,0.9447
flash_128k_L36,256,gvr_pr,22.122,17.69,True,
flash_128k_L36,256,bsx,19.712,14.797,True,1.1222
flash_128k_L36,512,gvr_pr,41.754,33.171,True,
flash_128k_L36,512,bsx,37.367,28.57,True,1.1174
flash_128k_L36,1024,gvr_pr,72.298,66.419,True,
flash_128k_L36,1024,bsx,68.864,63.053,True,1.0499
pro_128k_L30,32,gvr_pr,14.406,11.763,True,
pro_128k_L30,32,bsx,17.21,13.53,True,0.8371
pro_128k_L30,64,gvr_pr,14.685,11.955,True,
pro_128k_L30,64,bsx,17.75,13.594,True,0.8273
pro_128k_L30,128,gvr_pr,15.456,12.019,True,
pro_128k_L30,128,bsx,18.589,13.862,True,0.8315
pro_128k_L30,256,gvr_pr,21.549,16.749,True,
pro_128k_L30,256,bsx,22.352,16.832,True,0.9641
pro_128k_L30,512,gvr_pr,40.294,31.187,True,
pro_128k_L30,512,bsx,42.448,32.749,True,0.9493
pro_128k_L30,1024,gvr_pr,69.402,62.656,True,
pro_128k_L30,1024,bsx,78.157,70.573,True,0.888
v32_16k_L20,32,gvr_pr,13.264,11.526,True,
v32_16k_L20,32,bsx,15.594,13.229,True,0.8506
v32_16k_L20,64,gvr_pr,13.597,11.59,True,
v32_16k_L20,64,bsx,16.026,13.318,True,0.8484
v32_16k_L20,128,gvr_pr,14.435,11.994,True,
v32_16k_L20,128,bsx,16.822,13.498,True,0.8581
v32_16k_L20,256,gvr_pr,18.931,15.885,True,
v32_16k_L20,256,bsx,20.883,16.499,True,0.9065
v32_16k_L20,512,gvr_pr,35.504,30.112,True,
v32_16k_L20,512,bsx,38.266,31.29,True,0.9278
v32_16k_L20,1024,gvr_pr,64.291,53.728,True,
v32_16k_L20,1024,bsx,69.562,58.458,True,0.9242
v32_256k_L20,32,gvr_pr,23.584,19.027,True,
v32_256k_L20,32,bsx,38.166,27.117,True,0.6179
v32_256k_L20,64,gvr_pr,28.409,22.573,True,
v32_256k_L20,64,bsx,39.814,27.398,True,0.7135
v32_256k_L20,128,gvr_pr,44.144,28.25,True,
v32_256k_L20,128,bsx,45.706,27.501,True,0.9658
v32_256k_L20,256,gvr_pr,81.052,70.995,True,
v32_256k_L20,256,bsx,58.969,47.13,True,1.3745
v32_256k_L20,512,gvr_pr,146.825,137.19,True,
v32_256k_L20,512,bsx,105.065,94.713,True,1.3975
v32_256k_L20,1024,gvr_pr,262.809,252.812,True,
v32_256k_L20,1024,bsx,191.388,181.414,True,1.3732
v32_64k_L20,32,gvr_pr,19.741,16.806,True,
v32_64k_L20,32,bsx,27.146,21.312,True,0.7272
v32_64k_L20,64,gvr_pr,21.946,18.637,True,
v32_64k_L20,64,bsx,27.821,21.517,True,0.7888
v32_64k_L20,128,gvr_pr,22.95,18.515,True,
v32_64k_L20,128,bsx,29.296,21.888,True,0.7834
v32_64k_L20,256,gvr_pr,36.214,27.725,True,
v32_64k_L20,256,bsx,37.021,27.501,True,0.9782
v32_64k_L20,512,gvr_pr,69.219,59.085,True,
v32_64k_L20,512,bsx,69.376,62.061,True,0.9977
v32_64k_L20,1024,gvr_pr,114.707,102.886,True,
v32_64k_L20,1024,bsx,122.794,116.749,True,0.9341
flash_4k_L36,32,gvr_pr,9.776,8.506,True,
flash_4k_L36,32,bsx,5.626,4.96,True,1.7378
flash_4k_L36,64,gvr_pr,9.459,8.525,True,
flash_4k_L36,64,bsx,5.651,4.992,True,1.6738
flash_4k_L36,128,gvr_pr,9.939,8.858,True,
flash_4k_L36,128,bsx,5.722,4.986,True,1.7371
flash_4k_L36,256,gvr_pr,10.704,9.728,True,
flash_4k_L36,256,bsx,6.362,5.658,True,1.6826
flash_4k_L36,512,gvr_pr,19.837,17.888,True,
flash_4k_L36,512,bsx,11.142,9.843,True,1.7803
flash_4k_L36,1024,gvr_pr,37.194,33.83,True,
flash_4k_L36,1024,bsx,20.282,18.374,True,1.8339
flash_32k_L36,32,gvr_pr,11.101,9.178,True,
flash_32k_L36,32,bsx,11.398,9.299,True,0.9739
flash_32k_L36,64,gvr_pr,10.966,9.363,True,
flash_32k_L36,64,bsx,11.642,9.382,True,0.942
flash_32k_L36,128,gvr_pr,11.536,9.594,True,
flash_32k_L36,128,bsx,12.166,9.44,True,0.9482
flash_32k_L36,256,gvr_pr,13.555,11.181,True,
flash_32k_L36,256,bsx,13.693,10.752,True,0.9899
flash_32k_L36,512,gvr_pr,24.992,21.126,True,
flash_32k_L36,512,bsx,24.816,20.006,True,1.0071
flash_32k_L36,1024,gvr_pr,44.55,38.15,True,
flash_32k_L36,1024,bsx,45.946,37.478,True,0.9696
flash_1024k_L16,32,gvr_pr,25.626,20.307,True,
flash_1024k_L16,32,bsx,55.93,39.763,True,0.4582
flash_1024k_L16,64,gvr_pr,37.373,25.491,True,
flash_1024k_L16,64,bsx,59.008,39.904,True,0.6334
flash_1024k_L16,128,gvr_pr,63.325,53.888,True,
flash_1024k_L16,128,bsx,64.647,54.848,True,0.9796
flash_1024k_L16,256,gvr_pr,108.518,95.034,True,
flash_1024k_L16,256,bsx,80.822,69.632,True,1.3427
flash_1024k_L16,512,gvr_pr,199.613,185.088,True,
flash_1024k_L16,512,bsx,147.99,136.506,True,1.3488
flash_1024k_L16,1024,gvr_pr,378.477,365.107,True,
flash_1024k_L16,1024,bsx,273.747,260.205,True,1.3826
pro_1024k_L08,32,gvr_pr,30.691,25.363,True,
pro_1024k_L08,32,bsx,52.582,35.942,True,0.5837
pro_1024k_L08,64,gvr_pr,42.56,32.211,True,
pro_1024k_L08,64,bsx,55.763,36.077,True,0.7632
pro_1024k_L08,128,gvr_pr,82.918,73.152,True,
pro_1024k_L08,128,bsx,61.994,51.539,True,1.3375
pro_1024k_L08,256,gvr_pr,153.933,131.686,True,
pro_1024k_L08,256,bsx,79.581,66.08,True,1.9343
pro_1024k_L08,512,gvr_pr,276.793,260.096,True,
pro_1024k_L08,512,bsx,145.139,130.752,True,1.9071
pro_1024k_L08,1024,gvr_pr,528.502,515.52,True,
pro_1024k_L08,1024,bsx,267.296,249.818,True,1.9772
