cell,BS,arm,cold_us,warm_us,exact,speedup_cold
flash_128k_L36,32,gvr_pr,15.046,12.109,True,
flash_128k_L36,32,bsx,19.779,17.024,True,0.7607
flash_128k_L36,64,gvr_pr,15.082,12.269,True,
flash_128k_L36,64,bsx,20.218,17.05,True,0.746
flash_128k_L36,128,gvr_pr,15.959,12.595,True,
flash_128k_L36,128,bsx,20.922,17.446,True,0.7628
flash_128k_L36,256,gvr_pr,22.131,17.658,True,
flash_128k_L36,256,bsx,27.658,24.698,True,0.8002
flash_128k_L36,512,gvr_pr,41.658,33.235,True,
flash_128k_L36,512,bsx,51.235,45.613,True,0.8131
flash_128k_L36,1024,gvr_pr,72.874,66.983,True,
flash_128k_L36,1024,bsx,86.64,83.86,True,0.8411
pro_128k_L30,32,gvr_pr,14.426,11.757,True,
pro_128k_L30,32,bsx,24.147,21.248,True,0.5974
pro_128k_L30,64,gvr_pr,14.618,11.936,True,
pro_128k_L30,64,bsx,24.691,21.363,True,0.592
pro_128k_L30,128,gvr_pr,15.453,12.013,True,
pro_128k_L30,128,bsx,25.488,21.632,True,0.6063
pro_128k_L30,256,gvr_pr,21.331,16.774,True,
pro_128k_L30,256,bsx,34.237,30.458,True,0.6231
pro_128k_L30,512,gvr_pr,40.342,31.264,True,
pro_128k_L30,512,bsx,64.112,57.562,True,0.6292
pro_128k_L30,1024,gvr_pr,69.053,63.047,True,
pro_128k_L30,1024,bsx,109.229,105.875,True,0.6322
v32_16k_L20,32,gvr_pr,13.315,11.52,True,
v32_16k_L20,32,bsx,18.56,17.024,True,0.7174
v32_16k_L20,64,gvr_pr,13.546,11.59,True,
v32_16k_L20,64,bsx,19.187,17.062,True,0.706
v32_16k_L20,128,gvr_pr,14.403,11.981,True,
v32_16k_L20,128,bsx,19.853,17.235,True,0.7255
v32_16k_L20,256,gvr_pr,18.87,15.885,True,
v32_16k_L20,256,bsx,26.765,23.334,True,0.705
v32_16k_L20,512,gvr_pr,35.488,29.901,True,
v32_16k_L20,512,bsx,49.31,44.269,True,0.7197
v32_16k_L20,1024,gvr_pr,63.942,53.53,True,
v32_16k_L20,1024,bsx,85.216,77.568,True,0.7504
v32_256k_L20,32,gvr_pr,23.539,19.014,True,
v32_256k_L20,32,bsx,57.962,51.213,True,0.4061
v32_256k_L20,64,gvr_pr,28.31,22.662,True,
v32_256k_L20,64,bsx,59.36,51.501,True,0.4769
v32_256k_L20,128,gvr_pr,43.99,28.294,True,
v32_256k_L20,128,bsx,66.538,51.763,True,0.6611
v32_256k_L20,256,gvr_pr,80.89,70.432,True,
v32_256k_L20,256,bsx,96.285,93.446,True,0.8401
v32_256k_L20,512,gvr_pr,146.858,137.402,True,
v32_256k_L20,512,bsx,181.994,177.837,True,0.8069
v32_256k_L20,1024,gvr_pr,262.496,252.781,True,
v32_256k_L20,1024,bsx,313.149,308.87,True,0.8382
v32_64k_L20,32,gvr_pr,19.789,16.794,True,
v32_64k_L20,32,bsx,38.426,34.4,True,0.515
v32_64k_L20,64,gvr_pr,22.045,18.637,True,
v32_64k_L20,64,bsx,39.005,34.618,True,0.5652
v32_64k_L20,128,gvr_pr,22.906,18.554,True,
v32_64k_L20,128,bsx,40.352,35.008,True,0.5676
v32_64k_L20,256,gvr_pr,36.438,27.693,True,
v32_64k_L20,256,bsx,56.179,50.874,True,0.6486
v32_64k_L20,512,gvr_pr,69.047,59.424,True,
v32_64k_L20,512,bsx,105.834,102.477,True,0.6524
v32_64k_L20,1024,gvr_pr,114.416,102.957,True,
v32_64k_L20,1024,bsx,179.2,176.487,True,0.6385
flash_4k_L36,32,gvr_pr,9.888,8.499,True,
flash_4k_L36,32,bsx,5.645,4.947,True,1.7517
flash_4k_L36,64,gvr_pr,9.642,8.499,True,
flash_4k_L36,64,bsx,5.629,4.986,True,1.7129
flash_4k_L36,128,gvr_pr,9.872,8.87,True,
flash_4k_L36,128,bsx,5.76,5.005,True,1.7139
flash_4k_L36,256,gvr_pr,10.739,9.658,True,
flash_4k_L36,256,bsx,6.346,5.638,True,1.6924
flash_4k_L36,512,gvr_pr,19.757,17.869,True,
flash_4k_L36,512,bsx,11.152,9.862,True,1.7716
flash_4k_L36,1024,gvr_pr,37.165,33.818,True,
flash_4k_L36,1024,bsx,20.314,18.368,True,1.8295
flash_32k_L36,32,gvr_pr,11.181,9.216,True,
flash_32k_L36,32,bsx,12.134,10.605,True,0.9214
flash_32k_L36,64,gvr_pr,10.947,9.344,True,
flash_32k_L36,64,bsx,12.368,10.694,True,0.8851
flash_32k_L36,128,gvr_pr,11.485,9.587,True,
flash_32k_L36,128,bsx,12.781,10.784,True,0.8986
flash_32k_L36,256,gvr_pr,13.648,11.155,True,
flash_32k_L36,256,bsx,15.683,13.555,True,0.8702
flash_32k_L36,512,gvr_pr,24.87,21.101,True,
flash_32k_L36,512,bsx,28.429,25.485,True,0.8748
flash_32k_L36,1024,gvr_pr,44.298,38.099,True,
flash_32k_L36,1024,bsx,50.467,44.845,True,0.8778
flash_1024k_L16,32,gvr_pr,25.715,20.25,True,
flash_1024k_L16,32,bsx,114.013,103.981,True,0.2255
flash_1024k_L16,64,gvr_pr,37.379,25.459,True,
flash_1024k_L16,64,bsx,116.797,104.032,True,0.32
flash_1024k_L16,128,gvr_pr,63.536,53.491,True,
flash_1024k_L16,128,bsx,129.012,124.762,True,0.4925
flash_1024k_L16,256,gvr_pr,108.484,94.701,True,
flash_1024k_L16,256,bsx,176.045,174.413,True,0.6162
flash_1024k_L16,512,gvr_pr,199.604,185.178,True,
flash_1024k_L16,512,bsx,335.527,333.313,True,0.5949
flash_1024k_L16,1024,gvr_pr,378.462,365.371,True,
flash_1024k_L16,1024,bsx,577.832,574.824,True,0.655
pro_1024k_L08,32,gvr_pr,30.73,25.184,True,
pro_1024k_L08,32,bsx,78.941,69.594,True,0.3893
pro_1024k_L08,64,gvr_pr,42.678,32.154,True,
pro_1024k_L08,64,bsx,82.285,69.754,True,0.5187
pro_1024k_L08,128,gvr_pr,82.935,73.402,True,
pro_1024k_L08,128,bsx,97.872,92.128,True,0.8474
pro_1024k_L08,256,gvr_pr,153.93,131.623,True,
pro_1024k_L08,256,bsx,136.365,134.797,True,1.1288
pro_1024k_L08,512,gvr_pr,276.884,259.7,True,
pro_1024k_L08,512,bsx,257.731,253.799,True,1.0743
