cell,BS,arm,cold_us,warm_us,exact
pro_1024k_L32,4,gvr_pr,20.025599999999997,17.9008,1
pro_1024k_L32,4,bsx,11.6608,10.5664,1
pro_1024k_L32,8,gvr_pr,21.7568,19.5518,1
pro_1024k_L32,8,bsx,16.6432,14.9824,1
pro_1024k_L32,16,gvr_pr,22.6624,19.712,1
pro_1024k_L32,16,bsx,29.7408,25.8944,1
pro_1024k_L32,32,gvr_pr,25.7408,20.249599999999997,1
pro_1024k_L32,32,bsx,31.5712,27.328,1
pro_1024k_L32,64,gvr_pr,37.6383,25.856,1
pro_1024k_L32,64,bsx,42.6911,33.8624,1
pro_1024k_L32,128,gvr_pr,64.2687,54.5024,1
pro_1024k_L32,128,bsx,58.937400000000004,48.704,1
pro_1024k_L32,256,gvr_pr,109.6064,93.28,1
pro_1024k_L32,256,bsx,84.55030000000001,68.0384,1
pro_1024k_L32,512,gvr_pr,200.9567,185.33720000000002,1
pro_1024k_L32,512,bsx,149.4495,135.5134,1
pro_1024k_L32,1024,gvr_pr,379.062,364.8252,1
pro_1024k_L32,1024,bsx,273.4396,253.19660000000002,1
pro_128k_L32,1,gvr_pr,15.5936,13.088,1
pro_128k_L32,1,bsx,8.7296,8.288,1
pro_128k_L32,2,gvr_pr,14.8608,13.0494,1
pro_128k_L32,2,bsx,8.7616,8.2304,1
pro_128k_L32,4,gvr_pr,14.6943,13.0944,1
pro_128k_L32,4,bsx,8.8192,8.3134,1
pro_128k_L32,8,gvr_pr,14.7103,13.0688,1
pro_128k_L32,8,bsx,9.0432,8.384,1
pro_128k_L32,16,gvr_pr,14.8672,13.1648,1
pro_128k_L32,16,bsx,16.256,13.939200000000001,1
pro_128k_L32,32,gvr_pr,15.4048,13.1328,1
pro_128k_L32,32,bsx,16.5408,14.24,1
pro_128k_L32,64,gvr_pr,15.8976,13.2096,1
pro_128k_L32,64,bsx,18.9887,16.1088,1
pro_128k_L32,128,gvr_pr,16.7871,13.504,1
pro_128k_L32,128,bsx,20.1088,16.0,1
pro_128k_L32,256,gvr_pr,23.7664,19.244799999999998,1
pro_128k_L32,256,bsx,25.302400000000002,20.166400000000003,1
pro_128k_L32,512,gvr_pr,44.3615,35.8144,1
pro_128k_L32,512,bsx,47.7791,39.001599999999996,1
pro_128k_L32,1024,gvr_pr,76.6303,71.5262,1
pro_128k_L32,1024,bsx,85.0176,79.5392,1
