model,isl,N,K,L,BS,hit,compB_us,compB_span,gvr_pr_us,gvr_pr_span,sgl_us,radix_us,fi_us,sgl_span,radix_span,fi_span,gvr2_ratio,drift,exact_compB
flash,4k,1027,512,10,1,0.8457,3.6896,3.6896,8.8607,8.8607,4.2656,5.4944,6.1968,4.2656,5.4944,6.1968,0.9987,1.0276,True
flash,4k,1027,512,10,2,0.8457,7.3232,7.5823,8.7184,8.7184,4.1520,5.6432,6.4944,4.152,5.6432,6.4944,0.9985,1.0548,True
flash,4k,1027,512,10,4,0.8457,14.8206,15.5902,8.7951,8.7951,4.1584,5.6384,6.4672,4.1584,5.6384,6.4672,1.0335,1.0707,True
flash,4k,1027,512,10,8,0.8457,29.4782,31.3646,8.8736,8.8736,4.1680,5.7248,6.4848,4.168,5.7248,6.4848,0.9955,1.1137,True
flash,4k,1027,512,10,16,0.8457,57.6538,61.4986,9.2383,9.2383,4.7040,6.0176,6.8559,4.704,6.0176,6.8559,1.0009,1.1443,True
flash,4k,1027,512,10,32,0.8457,114.1012,122.0052,9.4671,9.4671,4.6800,6.2288,6.9104,4.68,6.2288,6.9104,1.0061,1.139,True
flash,4k,1027,512,10,64,0.8457,226.956,243.1142,9.3935,9.3935,4.7408,6.3024,7.0144,4.7408,6.3024,7.0144,1.0259,1.1449,True
flash,4k,1027,512,10,128,0.8457,452.6768,485.3453,9.6943,9.6943,4.8976,6.6208,7.1296,4.8976,6.6208,7.1296,1.0198,1.1452,True
flash,4k,1027,512,10,256,0.8457,904.1255,969.4779,18.1071,18.1071,5.8352,11.4192,8.5216,5.8352,11.4192,8.5216,0.9997,1.9207,True
flash,4k,1027,512,10,512,0.8457,1807.3829,1938.3879,34.1627,34.1627,9.6512,20.5680,15.2352,9.6512,20.568,15.2352,0.9914,2.0011,True
flash,4k,1027,512,10,1024,0.8457,3612.421,3874.8125,60.3929,60.3929,16.7744,35.0544,27.0016,16.7744,35.0544,27.0016,0.9997,1.906,True
flash,4k,1027,512,22,1,0.6387,3.0208,3.0208,8.5774,8.5774,4.2672,5.4528,6.1488,4.2672,5.4528,6.1488,1.0013,1.0763,True
flash,4k,1027,512,22,2,0.6387,5.976,6.4592,8.4413,8.4413,4.1520,5.6576,6.3072,4.152,5.6576,6.3072,1.0004,1.0816,True
flash,4k,1027,512,22,4,0.6387,12.2111,13.4527,8.4431,8.4431,4.1344,5.6816,6.4240,4.1344,5.6816,6.424,1.0535,1.0787,True
flash,4k,1027,512,22,8,0.6387,24.2957,26.7709,8.648,8.648,4.1472,5.6704,6.3840,4.1472,5.6704,6.384,0.9946,1.0746,True
flash,4k,1027,512,22,16,0.6387,46.9727,52.0175,9.0255,9.0255,4.6768,6.0576,6.7008,4.6768,6.0576,6.7008,0.994,1.117,True
flash,4k,1027,512,22,32,0.6387,92.9334,101.6964,9.1424,9.1424,4.6624,6.2320,6.7488,4.6624,6.232,6.7488,1.0004,1.1259,True
flash,4k,1027,512,22,64,0.6387,184.4714,212.9783,9.1535,9.1535,4.7584,6.3472,6.8064,4.7584,6.3472,6.8064,1.0236,1.1074,True
flash,4k,1027,512,22,128,0.6387,368.1621,401.3474,9.443,9.443,4.8704,6.6624,6.9280,4.8704,6.6624,6.928,1.0175,1.1146,True
flash,4k,1027,512,22,256,0.6387,734.8167,802.1218,17.563,17.563,5.7536,11.4656,8.3376,5.7536,11.4656,8.3376,0.9965,1.852,True
flash,4k,1027,512,22,512,0.6387,1469.7529,1601.8389,33.19,33.19,9.6736,20.8560,14.8672,9.6736,20.856,14.8672,0.9915,1.9434,True
flash,4k,1027,512,22,1024,0.6387,2936.1899,3229.0809,58.6425,58.6425,16.7456,35.2448,26.4432,16.7456,35.2448,26.4432,0.9987,1.8541,True
flash,4k,1027,512,34,1,0.6953,4.0304,4.0304,9.4448,9.4448,5.1536,6.0144,6.5680,5.1536,6.0144,6.568,1.0005,1.1794,True
flash,4k,1027,512,34,2,0.6953,8.0479,8.4959,8.7711,8.7711,5.0527,6.0160,6.6911,5.0527,6.016,6.6911,1.0141,1.1111,True
flash,4k,1027,512,34,4,0.6953,16.0605,17.107,8.9295,8.9295,4.7568,5.9520,6.8240,4.7568,5.952,6.824,1.0084,1.1229,True
flash,4k,1027,512,34,8,0.6953,32.1388,34.0971,8.9376,8.9376,4.7552,6.0080,6.8048,4.7552,6.008,6.8048,0.9957,1.1031,True
flash,4k,1027,512,34,16,0.6953,63.2536,67.4744,8.955,8.955,4.7952,6.0784,6.8560,4.7952,6.0784,6.856,1.0161,1.1116,True
flash,4k,1027,512,34,32,0.6953,126.1921,134.4832,9.0319,9.0319,4.7952,6.1856,6.8608,4.7952,6.1856,6.8608,1.0204,1.1121,True
flash,4k,1027,512,34,64,0.6953,252.5872,268.9663,9.2239,9.2239,4.8416,6.3280,6.9712,4.8416,6.328,6.9712,1.0083,1.1185,True
flash,4k,1027,512,34,128,0.6953,505.7208,538.4243,9.515,9.515,5.0447,6.5936,7.1120,5.0447,6.5936,7.112,1.0002,1.1201,True
flash,4k,1027,512,34,256,0.6953,1008.7258,1073.9605,17.5133,17.5133,5.9168,11.3935,8.4975,5.9168,11.3935,8.4975,0.995,1.8471,True
flash,4k,1027,512,34,512,0.6953,2013.5689,2143.9145,32.9789,32.9789,9.9232,20.4432,15.2271,9.9232,20.4432,15.2271,0.9907,1.9131,True
flash,4k,1027,512,34,1024,0.6953,4022.7712,4283.7076,58.0809,58.0809,17.3232,34.7856,26.9408,17.3232,34.7856,26.9408,1.0013,1.8186,True
flash,512k,131075,512,10,1,0.4551,9.112,9.112,18.3552,18.3552,13.1952,19.1970,16.3105,13.1952,19.197,16.3105,1.0039,1.0179,True
flash,512k,131075,512,10,2,0.4551,17.944,18.2,18.4784,18.4784,13.3169,19.3152,16.3233,13.3169,19.3152,16.3233,0.9987,1.0279,True
flash,512k,131075,512,10,4,0.4551,35.6191,36.3855,18.7824,18.7824,13.4545,20.5602,16.7361,13.4545,20.5602,16.7361,1.0,1.0345,True
flash,512k,131075,512,10,8,0.4551,70.5726,72.3774,19.304,19.304,13.8560,20.5905,17.2128,13.856,20.5905,17.2128,1.0008,0.9868,True
flash,512k,131075,512,10,16,0.4551,139.8974,143.7277,19.9455,19.9455,15.8752,25.0753,22.7937,15.8752,25.0753,22.7937,1.0004,0.9901,True
flash,512k,131075,512,10,32,0.4551,277.0075,284.9547,21.4815,21.4815,49.2770,58.3153,24.9488,27.9569,58.3153,24.9488,0.9935,1.0135,True
flash,512k,131075,512,10,64,0.4551,551.7878,567.9638,40.4607,40.4607,33.5296,86.3156,33.5184,35.9264,86.3156,33.5184,1.0029,1.5057,True
flash,512k,131075,512,10,128,0.4551,1104.6425,1137.2313,78.4559,78.4559,39.5057,105.2739,56.1298,41.5538,105.2739,56.1298,0.9998,2.0598,True
flash,512k,131075,512,10,256,0.4551,2209.357,2274.8578,152.7005,152.7005,61.9106,204.9878,102.7344,64.6226,204.9878,102.7344,1.0035,1.8322,True
flash,512k,131075,512,10,512,0.4551,4400.8513,4531.9407,291.7912,291.7912,109.1177,369.9915,183.5335,111.3737,369.9915,183.5335,1.0046,1.9444,True
flash,512k,131075,512,10,1024,0.4551,8780.8996,9043.1342,562.6708,562.6708,196.4981,701.6581,319.5482,196.4981,701.6581,319.5482,0.9983,2.063,True
flash,512k,131075,512,22,1,0.0566,9.2591,9.2591,23.9055,23.9055,13.5584,19.1441,18.3489,13.5584,19.1441,18.3489,1.0006,1.156,True
flash,512k,131075,512,22,2,0.0566,18.3407,18.5951,23.9855,23.9855,13.5792,19.5793,18.3296,13.5792,19.5793,18.3296,1.0003,1.1517,True
flash,512k,131075,512,22,4,0.0566,36.331,37.0942,24.2319,24.2319,13.7792,20.5521,18.7457,13.7792,20.5521,18.7457,0.9974,1.1235,True
flash,512k,131075,512,22,8,0.0566,72.4014,74.1821,24.6863,24.6863,14.1904,20.3953,19.3648,14.1904,20.3953,19.3648,0.9997,1.0211,True
flash,512k,131075,512,22,16,0.0566,143.2394,147.0473,25.3967,25.3967,15.9105,25.0160,25.7104,15.9105,25.016,25.7104,0.9949,1.021,True
flash,512k,131075,512,22,32,0.0566,283.7652,291.6164,27.4991,27.4991,50.1138,57.7698,27.9073,28.5377,57.7698,27.9073,0.9967,1.0458,True
flash,512k,131075,512,22,64,0.0566,565.8634,581.8504,51.8717,51.8717,33.0306,86.1411,40.2289,36.0913,86.1411,40.2289,1.0035,1.4863,True
flash,512k,131075,512,22,128,0.0566,1134.1536,1166.3984,100.6332,100.6332,38.8179,105.2019,72.1010,41.1843,105.2019,72.101,1.0004,2.1696,True
flash,512k,131075,512,22,256,0.0566,2271.5748,2336.2977,195.5433,195.5433,61.8049,204.9380,145.9716,64.373,204.938,145.9716,0.9995,1.6229,True
flash,512k,131075,512,22,512,0.0566,4517.9189,4647.6098,377.128,377.128,108.7763,369.9145,267.7799,111.4467,369.9145,267.7799,1.001,1.7201,True
flash,512k,131075,512,22,1024,0.0566,9000.5312,9260.2373,733.205,733.205,195.1782,700.7474,487.5038,195.1782,700.7474,487.5038,1.0016,1.8029,True
flash,512k,131075,512,34,1,0.2832,8.9008,8.9008,16.6208,16.6208,11.1841,20.3825,15.1808,11.1841,20.3825,15.1808,0.9989,1.1518,True
flash,512k,131075,512,34,2,0.2832,17.6592,17.9103,16.4912,16.4912,11.3537,20.2784,15.4208,11.3537,20.2784,15.4208,0.9942,1.1309,True
flash,512k,131075,512,34,4,0.2832,34.8031,35.5615,16.4976,16.4976,11.4800,20.7136,15.6000,11.48,20.7136,15.6,1.0027,1.0832,True
flash,512k,131075,512,34,8,0.2832,69.2191,71.0046,17.139,17.139,11.7744,21.2144,16.0273,11.7744,21.2144,16.0273,0.9947,1.0295,True
flash,512k,131075,512,34,16,0.2832,136.6509,140.4893,17.7647,17.7647,13.7104,24.9137,20.6352,13.7104,24.9137,20.6352,0.9947,1.0343,True
flash,512k,131075,512,34,32,0.2832,270.9081,278.7737,19.056,19.056,41.7410,57.1842,22.1808,24.1937,57.1842,22.1808,1.0,1.0397,True
flash,512k,131075,512,34,64,0.2832,539.6578,555.6578,36.0095,36.0095,33.1457,83.8723,28.0208,35.6497,83.8723,28.0208,0.999,1.4902,True
flash,512k,131075,512,34,128,0.2832,1080.3106,1112.5874,69.5502,69.5502,39.0737,103.4994,43.4657,40.9921,103.4994,43.4657,1.001,2.1348,True
flash,512k,131075,512,34,256,0.2832,2162.428,2227.162,135.3083,135.3083,61.6210,200.0180,79.2241,64.125,200.018,79.2241,1.0009,2.1203,True
flash,512k,131075,512,34,512,0.2832,4305.4064,4435.2589,256.1465,256.1465,108.0755,364.3240,135.4660,110.4146,364.324,135.466,1.0018,2.2575,True
flash,512k,131075,512,34,1024,0.2832,8577.953,8837.8067,491.7923,491.7923,194.0836,690.4098,236.4218,194.0836,690.4098,236.4218,0.9999,2.4266,True
flash,64k,16387,512,10,1,0.582,7.7999,7.7999,11.9919,11.9919,8.5824,20.2368,11.9984,8.5824,20.2368,11.9984,0.9996,1.0902,True
flash,64k,16387,512,10,2,0.582,15.5262,15.7999,11.4847,11.4847,8.6048,20.2144,12.1744,8.6048,20.2144,12.1744,1.0298,1.0587,True
flash,64k,16387,512,10,4,0.582,31.0782,31.8334,11.6911,11.6911,8.3776,20.2384,12.2320,8.3776,20.2384,12.232,1.003,1.0627,True
flash,64k,16387,512,10,8,0.582,62.169,64.0074,11.648,11.648,8.3808,20.3728,12.2960,8.3808,20.3728,12.296,1.0025,1.0757,True
flash,64k,16387,512,10,16,0.582,122.8373,126.9253,11.7839,11.7839,8.4192,20.5873,14.6208,8.4192,20.5873,14.6208,0.9977,1.0716,True
flash,64k,16387,512,10,32,0.582,244.2493,252.1227,11.987,11.987,8.7216,21.0448,15.4224,8.7216,21.0448,15.4224,1.0024,1.0831,True
flash,64k,16387,512,10,64,0.582,486.8505,502.8616,12.4703,12.4703,9.1648,13.2896,15.1728,9.1648,13.2896,15.1728,1.0032,1.0962,True
flash,64k,16387,512,10,128,0.582,971.9393,1004.2575,13.3006,13.3006,9.7824,14.0464,16.8736,9.7824,14.0464,16.8736,0.9962,1.0827,True
flash,64k,16387,512,10,256,0.582,1942.6242,2007.512,24.2237,24.2237,12.7008,25.1808,16.7904,12.7008,25.1808,16.7904,0.999,1.59,True
flash,64k,16387,512,10,512,0.582,3882.8182,4012.8697,46.0477,46.0477,22.5808,47.6624,30.2768,22.5808,47.6624,30.2768,0.9907,1.6654,True
flash,64k,16387,512,10,1024,0.582,7771.4265,8031.8707,80.8889,80.8889,38.6944,82.9217,51.4481,38.6944,82.9217,51.4481,0.9998,1.6342,True
flash,64k,16387,512,22,1,0.0762,7.9328,7.9328,12.8256,12.8256,8.2592,17.4640,11.8640,8.2592,17.464,11.864,0.9998,1.0924,True
flash,64k,16387,512,22,2,0.0762,15.8958,16.1486,13.0479,13.0479,8.0881,19.6385,11.6736,8.0881,19.6385,11.6736,0.9685,1.1004,True
flash,64k,16387,512,22,4,0.0762,31.9261,32.691,12.9375,12.9375,8.1120,20.1713,12.1825,8.112,20.1713,12.1825,1.0022,1.0948,True
flash,64k,16387,512,22,8,0.0762,63.8254,65.6254,12.9264,12.9264,8.2640,20.2417,12.2401,8.264,20.2417,12.2401,1.0134,1.0833,True
flash,64k,16387,512,22,16,0.0762,126.3417,130.1785,13.4304,13.4304,8.5473,20.2768,14.8576,8.5473,20.2768,14.8576,1.0011,1.103,True
flash,64k,16387,512,22,32,0.0762,251.2193,259.1473,13.6384,13.6384,8.8673,21.0240,15.5216,8.8673,21.024,15.5216,1.0022,1.0997,True
flash,64k,16387,512,22,64,0.0762,500.5734,516.6708,14.0415,14.0415,9.2784,13.4640,15.3600,9.2784,13.464,15.36,0.992,1.1017,True
flash,64k,16387,512,22,128,0.0762,999.0522,1031.5321,14.9071,14.9071,9.9249,14.3456,17.3377,9.9249,14.3456,17.3377,1.0011,1.0846,True
flash,64k,16387,512,22,256,0.0762,1996.4709,2061.5649,27.336,27.336,13.0674,25.6898,17.6128,13.0674,25.6898,17.6128,0.9994,1.5421,True
flash,64k,16387,512,22,512,0.0762,3991.5911,4122.1523,51.9389,51.9389,23.2673,48.8353,31.3648,23.2673,48.8353,31.3648,0.9963,1.5982,True
flash,64k,16387,512,22,1024,0.0762,7991.4918,8252.8311,91.8059,91.8059,39.3808,84.8385,53.0225,39.3808,84.8385,53.0225,1.0011,1.5703,True
flash,64k,16387,512,34,1,0.1445,7.04,7.04,11.1104,11.1104,8.1040,17.4544,12.0400,8.104,17.4544,12.04,1.0035,1.0786,True
flash,64k,16387,512,34,2,0.1445,14.1215,14.3727,11.0784,11.0784,7.9505,19.3825,11.8736,7.9505,19.3825,11.8736,0.964,1.0727,True
flash,64k,16387,512,34,4,0.1445,28.2383,29.0112,11.064,11.064,7.8976,20.0401,12.2512,7.8976,20.0401,12.2512,0.9984,1.08,True
flash,64k,16387,512,34,8,0.1445,56.4622,58.2589,11.0128,11.0128,8.0800,20.2385,12.4336,8.08,20.2385,12.4336,1.0214,1.052,True
flash,64k,16387,512,34,16,0.1445,111.4283,115.2811,11.5583,11.5583,8.4896,20.2241,14.8336,8.4896,20.2241,14.8336,0.996,1.0816,True
flash,64k,16387,512,34,32,0.1445,221.5462,229.4806,11.8464,11.8464,8.6464,20.9856,15.5248,8.6464,20.9856,15.5248,0.9996,1.0755,True
flash,64k,16387,512,34,64,0.1445,441.7373,457.8828,12.2127,12.2127,9.1632,13.2976,15.1601,9.1632,13.2976,15.1601,0.9987,1.0815,True
flash,64k,16387,512,34,128,0.1445,881.2202,913.764,13.048,13.048,9.8096,14.1282,17.0320,9.8096,14.1282,17.032,1.0021,1.0594,True
flash,64k,16387,512,34,256,0.1445,1760.1106,1825.5616,23.8064,23.8064,12.5632,25.3697,17.2993,12.5632,25.3697,17.2993,0.9975,1.5454,True
flash,64k,16387,512,34,512,0.1445,3519.5433,3651.992,45.203,45.203,22.4928,48.1873,31.0657,22.4928,48.1873,31.0657,0.9909,1.6189,True
flash,64k,16387,512,34,1024,0.1445,7048.0268,7310.6446,79.2877,79.2877,38.7233,83.5378,53.0833,38.7233,83.5378,53.0833,1.0019,1.5871,True
flash,8k,2051,512,10,1,0.6719,4.128,4.128,9.6047,9.6047,4.9088,6.3824,7.0160,4.9088,6.3824,7.016,0.9985,1.1063,True
flash,8k,2051,512,10,2,0.6719,8.3599,8.6799,9.0944,9.0944,4.9360,6.2320,7.0736,4.936,6.232,7.0736,1.0243,1.0723,True
flash,8k,2051,512,10,4,0.6719,16.5918,17.6127,9.1663,9.1663,4.7600,6.2017,7.1232,4.76,6.2017,7.1232,1.022,1.0851,True
flash,8k,2051,512,10,8,0.6719,33.1341,35.3325,9.1247,9.1247,4.9056,6.3536,7.4112,4.9056,6.3536,7.4112,1.0374,1.0777,True
flash,8k,2051,512,10,16,0.6719,65.0281,68.8538,9.4944,9.4944,4.8064,6.6192,7.5648,4.8064,6.6192,7.5648,0.9956,1.1194,True
flash,8k,2051,512,10,32,0.6719,128.3395,136.2835,9.4799,9.4799,4.8640,6.6576,7.5696,4.864,6.6576,7.5696,1.0243,1.098,True
flash,8k,2051,512,10,64,0.6719,255.167,271.5718,9.6671,9.6671,5.0048,6.8144,7.6992,5.0048,6.8144,7.6992,1.0003,1.123,True
flash,8k,2051,512,10,128,0.6719,508.9215,541.7276,9.9567,9.9567,5.1744,7.0768,7.7984,5.1744,7.0768,7.7984,1.0016,1.1208,True
flash,8k,2051,512,10,256,0.6719,1016.7342,1082.3208,18.3983,18.3983,6.2768,12.3568,9.7280,6.2768,12.3568,9.728,1.0002,1.8452,True
flash,8k,2051,512,10,512,0.6719,2030.5867,2161.6513,34.4748,34.4748,10.8256,22.7008,17.3313,10.8256,22.7008,17.3313,1.0092,1.9046,True
flash,8k,2051,512,10,1024,0.6719,4058.7765,4321.4945,60.8778,60.8778,18.0704,38.3568,30.4865,18.0704,38.3568,30.4865,0.9979,1.8582,True
flash,8k,2051,512,22,1,0.334,4.568,4.568,9.976,9.976,4.7712,6.0288,7.2480,4.7712,6.0288,7.248,0.9953,1.2606,True
flash,8k,2051,512,22,2,0.334,9.1359,9.3935,9.7039,9.7039,4.8576,6.3120,7.5296,4.8576,6.312,7.5296,0.9794,1.2459,True
flash,8k,2051,512,22,4,0.334,18.2238,18.9934,9.5565,9.5565,4.9968,6.5216,7.5840,4.9968,6.5216,7.584,0.9858,1.1781,True
flash,8k,2051,512,22,8,0.334,36.6299,38.4188,9.7791,9.7791,4.7168,6.4336,7.5152,4.7168,6.4336,7.5152,0.9717,1.2385,True
flash,8k,2051,512,22,16,0.334,72.0938,75.9257,9.6366,9.6366,4.7904,6.4992,7.7120,4.7904,6.4992,7.712,1.0057,1.172,True
flash,8k,2051,512,22,32,0.334,143.3297,151.3007,9.7424,9.7424,4.7888,6.5952,7.6944,4.7888,6.5952,7.6944,0.987,1.1714,True
flash,8k,2051,512,22,64,0.334,285.7731,301.8689,9.7216,9.7216,4.8688,6.6736,7.7472,4.8688,6.6736,7.7472,0.9993,1.1451,True
flash,8k,2051,512,22,128,0.334,571.052,603.4868,9.9872,9.9872,5.0368,7.0576,7.8688,5.0368,7.0576,7.8688,0.9979,1.1424,True
flash,8k,2051,512,22,256,0.334,1141.1354,1206.33,18.4319,18.4319,6.1488,12.1584,9.8448,6.1488,12.1584,9.8448,0.9998,1.8611,True
flash,8k,2051,512,22,512,0.334,2279.9367,2410.505,34.5037,34.5037,10.4736,22.2944,17.6192,10.4736,22.2944,17.6192,1.0094,1.9242,True
flash,8k,2051,512,22,1024,0.334,4556.3262,4817.5797,60.5946,60.5946,17.4912,37.8080,30.8832,17.4912,37.808,30.8832,1.0002,1.8823,True
flash,8k,2051,512,34,1,0.6113,4.032,4.032,9.9568,9.9568,4.7584,6.0400,6.8688,4.7584,6.04,6.8688,0.9942,1.2369,True
flash,8k,2051,512,34,2,0.6113,7.9342,8.1886,9.7327,9.7327,4.7264,6.2336,7.0848,4.7264,6.2336,7.0848,0.9862,1.2117,True
flash,8k,2051,512,34,4,0.6113,15.888,16.6512,9.5647,9.5647,4.7968,6.3600,7.1376,4.7968,6.36,7.1376,1.0136,1.1563,True
flash,8k,2051,512,34,8,0.6113,31.6462,33.4205,9.6255,9.6255,4.6560,6.5296,7.1520,4.656,6.5296,7.152,0.9964,1.1842,True
flash,8k,2051,512,34,16,0.6113,62.6633,66.4521,9.5424,9.5424,4.7392,6.5072,7.2559,4.7392,6.5072,7.2559,1.0263,1.13,True
flash,8k,2051,512,34,32,0.6113,124.1745,132.0273,9.8863,9.8863,4.7504,6.6224,7.2368,4.7504,6.6224,7.2368,0.9994,1.1415,True
flash,8k,2051,512,34,64,0.6113,247.3764,263.4754,9.9743,9.9743,4.8240,6.7392,7.4047,4.824,6.7392,7.4047,1.0122,1.1443,True
flash,8k,2051,512,34,128,0.6113,494.5355,526.9412,10.2351,10.2351,5.0192,7.1007,7.5423,5.0192,7.1007,7.5423,0.9964,1.1286,True
flash,8k,2051,512,34,256,0.6113,987.4258,1052.3514,19.0333,19.0333,6.0480,12.2448,9.1280,6.048,12.2448,9.128,0.9962,1.8489,True
flash,8k,2051,512,34,512,0.6113,1973.7713,2103.8037,35.6923,35.6923,10.2880,22.5455,16.3488,10.288,22.5455,16.3488,1.0067,1.9147,True
flash,8k,2051,512,34,1024,0.6113,3943.9412,4204.1944,62.8391,62.8391,17.2704,38.1615,28.8912,17.2704,38.1615,28.8912,1.0001,1.8885,True
pro,1024k,262127,1024,14,1,0.71,10.1025,10.1025,21.5745,21.5745,17.0464,19.9409,18.7440,17.0464,19.9409,18.744,0.9952,1.1055,True
pro,1024k,262127,1024,14,2,0.71,19.6962,20.0033,21.0945,21.0945,17.0481,20.3345,18.9361,17.0481,20.3345,18.9361,1.0043,1.0728,True
pro,1024k,262127,1024,14,4,0.71,38.8594,39.6242,21.4833,21.4833,17.3089,20.7682,19.2672,17.3089,20.7682,19.2672,1.003,1.0664,True
pro,1024k,262127,1024,14,8,0.71,77.338,79.1252,22.1233,22.1233,17.7920,24.7825,19.8272,17.792,24.7825,19.8272,1.0001,1.0058,True
pro,1024k,262127,1024,14,16,0.71,152.6183,156.428,22.8257,22.8257,20.7313,31.0929,26.5842,20.7313,31.0929,26.5842,1.0018,0.9933,True
pro,1024k,262127,1024,14,32,0.71,304.048,311.9072,26.0002,26.0002,63.5698,58.5603,29.9937,35.2146,58.5603,29.9937,1.0005,0.9937,True
pro,1024k,262127,1024,14,64,0.71,607.5471,623.5679,49.6595,49.6595,100.7572,113.9702,44.8644,53.901,113.9702,44.8644,1.0001,1.2965,True
pro,1024k,262127,1024,14,128,0.71,1212.7293,1244.9583,95.8293,95.8293,84.4115,190.0121,82.1428,86.9634,190.0121,82.1428,1.001,1.5336,True
pro,1024k,262127,1024,14,256,0.71,2416.6924,2481.4781,180.5545,180.5545,109.2965,334.6993,139.4343,112.0341,334.6993,139.4343,1.0019,1.631,True
pro,1024k,262127,1024,14,512,0.71,4824.7505,4954.5435,342.5682,342.5682,197.4474,659.7377,257.7885,200.2234,659.7377,257.7885,0.9971,1.6908,True
pro,1024k,262127,1024,14,1024,0.71,9643.8021,9903.7092,657.5602,657.5602,377.3635,1309.5763,454.4151,377.3635,1309.5763,454.4151,1.0001,1.7285,True
pro,1024k,262127,1024,30,1,0.2666,9.4733,9.4733,21.315,21.315,16.3152,19.5073,17.4433,16.3152,19.5073,17.4433,0.9887,1.0653,True
pro,1024k,262127,1024,30,2,0.2666,18.713,18.9642,21.3453,21.3453,15.6289,19.8466,17.7249,15.6289,19.8466,17.7249,0.9954,1.0565,True
pro,1024k,262127,1024,30,4,0.2666,37.2435,38.0179,21.7047,21.7047,16.3425,20.6913,18.3249,16.3425,20.6913,18.3249,1.0083,1.0571,True
pro,1024k,262127,1024,30,8,0.2666,74.2746,76.0696,22.3319,22.3319,16.7458,24.9569,18.9105,16.7458,24.9569,18.9105,1.0035,1.0057,True
pro,1024k,262127,1024,30,16,0.2666,146.4323,150.2945,23.0103,23.0103,21.2721,31.6690,25.5810,21.2721,31.669,25.581,0.9976,0.9962,True
pro,1024k,262127,1024,30,32,0.2666,291.6105,299.57,26.2264,26.2264,60.4659,59.6529,28.7826,33.5106,59.6529,28.7826,0.9936,0.9989,True
pro,1024k,262127,1024,30,64,0.2666,584.0226,600.2056,50.0864,50.0864,96.2791,115.6712,43.7477,51.5476,115.6712,43.7477,0.9985,1.3095,True
pro,1024k,262127,1024,30,128,0.2666,1166.3977,1198.9778,96.4707,96.4707,84.1494,192.6683,80.4838,86.567,192.6683,80.4838,1.0049,1.5411,True
pro,1024k,262127,1024,30,256,0.2666,2319.8328,2385.2647,182.1081,182.1081,110.1753,340.5209,136.8442,112.4584,340.5209,136.8442,1.0023,1.649,True
pro,1024k,262127,1024,30,512,0.2666,4631.2353,4762.2995,345.8676,345.8676,196.7626,671.7025,253.8324,199.2826,671.7025,253.8324,0.9949,1.7165,True
pro,1024k,262127,1024,30,1024,0.2666,9252.2612,9514.7336,664.1734,664.1734,375.5435,1330.7074,449.0097,375.5435,1330.7074,449.0097,0.9975,1.7492,True
pro,1024k,262127,1024,46,1,0.6396,9.112,9.112,22.2673,22.2673,15.0480,20.0417,17.6753,15.048,20.0417,17.6753,0.9996,1.0898,True
pro,1024k,262127,1024,46,2,0.6396,18.0833,18.3409,22.0817,22.0817,15.1105,20.3809,17.8177,15.1105,20.3809,17.8177,1.001,1.0509,True
pro,1024k,262127,1024,46,4,0.6396,35.821,36.5954,22.3825,22.3825,15.3201,20.9169,18.1297,15.3201,20.9169,18.1297,1.0006,1.047,True
pro,1024k,262127,1024,46,8,0.6396,71.1316,72.9236,23.1345,23.1345,15.7521,24.4241,18.7026,15.7521,24.4241,18.7026,0.9966,1.0098,True
pro,1024k,262127,1024,46,16,0.6396,140.4263,144.239,23.7171,23.7171,18.1394,30.9216,25.5091,18.1394,30.9216,25.5091,1.0008,0.9971,True
pro,1024k,262127,1024,46,32,0.6396,279.7824,287.6784,26.8737,26.8737,56.9219,58.5253,28.2275,31.2322,58.5253,28.2275,1.0009,0.9965,True
pro,1024k,262127,1024,46,64,0.6396,559.8464,575.9633,51.4018,51.4018,90.6694,114.1509,42.6930,48.1299,114.1509,42.693,1.0011,1.317,True
pro,1024k,262127,1024,46,128,0.6396,1118.1086,1150.5745,99.3013,99.3013,83.8966,190.5370,79.2644,84.8197,190.537,79.2644,1.0026,1.5741,True
pro,1024k,262127,1024,46,256,0.6396,2224.136,2289.149,187.6219,187.6219,108.9031,335.5286,134.6856,110.0327,335.5286,134.6856,0.9995,1.6766,True
pro,1024k,262127,1024,46,512,0.6396,4434.9676,4565.3684,356.338,356.338,195.9339,659.0362,249.9247,197.1931,659.0362,249.9247,0.9983,1.7462,True
pro,1024k,262127,1024,46,1024,0.6396,8857.15,9118.2839,684.1207,684.1207,374.6440,1302.0017,441.5499,374.644,1302.0017,441.5499,1.0007,1.7766,True
pro,128k,32771,1024,14,1,0.8125,8.6944,8.6944,12.5168,12.5168,8.9056,17.6466,11.7409,8.9056,17.6466,11.7409,0.9939,0.9861,True
pro,128k,32771,1024,14,2,0.8125,17.0449,17.3009,12.088,12.088,8.9456,17.5744,11.9585,8.9456,17.5744,11.9585,1.0199,0.9717,True
pro,128k,32771,1024,14,4,0.8125,33.5217,34.2897,12.4545,12.4545,8.9840,19.9377,12.2241,8.984,19.9377,12.2241,0.996,0.9967,True
pro,128k,32771,1024,14,8,0.8125,66.7283,68.5266,12.4273,12.4273,9.0801,20.5458,12.5121,9.0801,20.5458,12.5121,1.0006,0.9849,True
pro,128k,32771,1024,14,16,0.8125,132.0005,135.8629,12.888,12.888,11.9425,20.7121,14.7505,11.9425,20.7121,14.7505,0.9994,0.995,True
