model,isl,N,K,L,BS,hit,compB_us,compB_span,gvr_pr_us,gvr_pr_span,sgl_us,radix_us,fi_us,sgl_span,radix_span,fi_span,gvr2_ratio,drift,exact_compB
flash,128k,32771,512,10,16,0.5234,133.804,137.612,13.1982,13.1982,11.7152,20.4001,14.3984,11.7152,20.4001,14.3984,0.9995,0.9799,True
flash,128k,32771,512,10,32,0.5234,266.1504,274.0256,13.6304,13.6304,12.1360,24.4465,16.2385,12.136,24.4465,16.2385,0.9966,0.9978,True
flash,128k,32771,512,10,64,0.5234,531.4894,547.4654,14.3455,14.3455,12.6848,30.5968,17.5760,12.6848,30.5968,17.576,0.9989,0.997,True
flash,128k,32771,512,10,128,0.5234,1058.293,1090.4944,15.6047,15.6047,13.2928,20.5040,21.1088,13.2928,20.504,21.1088,0.9898,1.0183,True
flash,128k,32771,512,10,256,0.5234,2113.584,2178.2429,28.5518,28.5518,18.0704,38.4448,26.2544,18.0704,38.4448,26.2544,0.9961,1.3678,True
flash,128k,32771,512,10,512,0.5234,4235.7418,4365.3233,53.6332,53.6332,34.1361,75.2753,47.5057,34.1361,75.2753,47.5057,0.9967,1.3716,True
flash,128k,32771,512,10,1024,0.5234,8487.2499,8746.9651,93.9657,93.9657,58.8528,131.3330,79.6992,58.8528,131.333,79.6992,0.9956,1.3812,True
flash,128k,32771,512,22,1,0.7012,8.44,8.44,12.5903,12.5903,8.4608,20.0752,12.2224,8.4608,20.0752,12.2224,0.9956,1.0632,True
flash,128k,32771,512,22,2,0.7012,16.6959,16.9455,12.3951,12.3951,8.4912,20.1248,12.4000,8.4912,20.1248,12.4,0.971,1.0516,True
flash,128k,32771,512,22,4,0.7012,33.0654,33.8222,12.1951,12.1951,8.4800,20.3265,12.4896,8.48,20.3265,12.4896,0.9919,1.0377,True
flash,128k,32771,512,22,8,0.7012,65.7116,67.5004,12.2096,12.2096,8.5712,20.2288,12.6673,8.5712,20.2288,12.6673,1.0018,1.0083,True
flash,128k,32771,512,22,16,0.7012,129.7034,133.5241,12.3983,12.3983,11.4624,20.5456,15.1680,11.4624,20.5456,15.168,1.008,0.9994,True
flash,128k,32771,512,22,32,0.7012,257.5105,265.3825,12.7759,12.7759,11.8000,24.4112,16.4272,11.8,24.4112,16.4272,1.0005,1.0119,True
flash,128k,32771,512,22,64,0.7012,513.5271,529.5254,13.6479,13.6479,12.3360,30.2401,17.2736,12.336,30.2401,17.2736,0.995,1.018,True
flash,128k,32771,512,22,128,0.7012,1025.4295,1057.6951,14.5327,14.5327,13.0896,20.4016,21.2704,13.0896,20.4016,21.2704,1.0013,1.0116,True
flash,128k,32771,512,22,256,0.7012,2049.4592,2114.2605,26.7886,26.7886,17.6208,38.1521,25.7984,17.6208,38.1521,25.7984,0.9967,1.3629,True
flash,128k,32771,512,22,512,0.7012,4104.0948,4233.7995,50.2908,50.2908,33.2017,74.6481,46.8577,33.2017,74.6481,46.8577,0.9987,1.3564,True
flash,128k,32771,512,22,1024,0.7012,8199.5155,8459.0808,88.6315,88.6315,57.5664,130.3169,78.9058,57.5664,130.3169,78.9058,0.9994,1.3875,True
flash,128k,32771,512,34,1,0.6875,8.6016,8.6016,12.6559,12.6559,8.6753,17.7216,11.9153,8.6753,17.7216,11.9153,0.9942,1.0711,True
flash,128k,32771,512,34,2,0.6875,17.0623,17.3183,12.0367,12.0367,8.5808,19.3344,12.0720,8.5808,19.3344,12.072,1.0338,1.0241,True
flash,128k,32771,512,34,4,0.6875,33.7743,34.5438,12.3024,12.3024,8.6816,19.5473,12.3120,8.6816,19.5473,12.312,1.0096,1.0424,True
flash,128k,32771,512,34,8,0.6875,67.1933,68.9869,12.3423,12.3423,8.8256,20.2817,12.5585,8.8256,20.2817,12.5585,0.9986,1.0169,True
flash,128k,32771,512,34,16,0.6875,133.137,136.9642,12.68,12.68,11.5440,20.4880,14.4688,11.544,20.488,14.4688,0.9892,1.0166,True
flash,128k,32771,512,34,32,0.6875,265.2483,273.1859,13.0048,13.0048,11.9968,24.1041,16.2337,11.9968,24.1041,16.2337,1.0049,1.0145,True
flash,128k,32771,512,34,64,0.6875,529.0214,545.167,13.7552,13.7552,12.4065,29.8673,17.1073,12.4065,29.8673,17.1073,1.0017,1.0182,True
flash,128k,32771,512,34,128,0.6875,1053.3149,1085.7564,14.9247,14.9247,13.1089,20.0049,20.3761,13.1089,20.0049,20.3761,0.9915,1.0441,True
flash,128k,32771,512,34,256,0.6875,2104.638,2170.3048,27.3023,27.3023,17.6240,37.2177,23.9778,17.624,37.2177,23.9778,0.9997,1.386,True
flash,128k,32771,512,34,512,0.6875,4216.5255,4347.4816,51.1469,51.1469,33.3922,72.9634,43.3569,33.3922,72.9634,43.3569,1.0009,1.3869,True
flash,128k,32771,512,34,1024,0.6875,8450.5158,8712.0489,89.8763,89.8763,57.9330,127.5027,73.0866,57.933,127.5027,73.0866,0.9969,1.4018,True
flash,16k,4099,512,10,1,0.6484,4.6448,4.6448,9.4192,9.4192,5.3329,7.0832,7.4064,5.3329,7.0832,7.4064,1.0109,0.9973,True
flash,16k,4099,512,10,2,0.6484,9.1743,9.4287,8.9599,8.9599,5.0816,6.9665,7.4816,5.0816,6.9665,7.4816,1.04,0.9553,True
flash,16k,4099,512,10,4,0.6484,18.4575,19.2287,9.2942,9.2942,5.1488,7.0672,7.4992,5.1488,7.0672,7.4992,1.0221,1.0019,True
flash,16k,4099,512,10,8,0.6484,36.8925,38.7677,9.4111,9.4111,5.0864,7.1552,7.8560,5.0864,7.1552,7.856,1.0151,0.9838,True
flash,16k,4099,512,10,16,0.6484,72.345,76.1898,9.8063,9.8063,5.2592,7.3504,7.9056,5.2592,7.3504,7.9056,0.9912,1.0486,True
flash,16k,4099,512,10,32,0.6484,143.106,151.3363,9.9087,9.9087,5.3296,7.5264,8.0464,5.3296,7.5264,8.0464,1.0031,1.0299,True
flash,16k,4099,512,10,64,0.6484,284.8712,300.9719,10.0608,10.0608,5.4800,7.6128,8.1889,5.48,7.6128,8.1889,1.0008,1.047,True
flash,16k,4099,512,10,128,0.6484,568.4514,600.8877,10.5582,10.5582,5.8080,8.1921,8.4528,5.808,8.1921,8.4528,0.9914,1.0664,True
flash,16k,4099,512,10,256,0.6484,1135.7601,1200.8619,19.2623,19.2623,7.1424,14.3328,11.6224,7.1424,14.3328,11.6224,0.999,1.7007,True
flash,16k,4099,512,10,512,0.6484,2268.6499,2399.2758,36.0669,36.0669,12.2928,26.4304,20.7584,12.2928,26.4304,20.7584,1.0116,1.7514,True
