model,isl,N,K,L,BS,hit,cs,op,us,us_span,exact
flash,128k,32771,512,10,32,0.5234,,kf_compB,266.1504,274.0256,True
flash,128k,32771,512,10,64,0.5234,1,gvr_pr,14.3455,14.3455,True
flash,128k,32771,512,10,64,0.5234,,kf_compB,531.4894,547.4654,True
flash,128k,32771,512,10,128,0.5234,1,gvr_pr,15.6047,15.6047,True
flash,128k,32771,512,10,128,0.5234,,kf_compB,1058.293,1090.4944,True
flash,128k,32771,512,10,256,0.5234,1,gvr_pr,28.5518,28.5518,True
flash,128k,32771,512,10,256,0.5234,,kf_compB,2113.584,2178.2429,True
flash,128k,32771,512,10,512,0.5234,1,gvr_pr,53.6332,53.6332,True
flash,128k,32771,512,10,512,0.5234,,kf_compB,4235.7418,4365.3233,True
flash,128k,32771,512,10,1024,0.5234,1,gvr_pr,93.9657,93.9657,True
flash,128k,32771,512,10,1024,0.5234,,kf_compB,8487.2499,8746.9651,True
flash,128k,32771,512,22,1,0.7012,1,gvr_pr,12.5903,12.5903,True
flash,128k,32771,512,22,1,0.7012,,kf_compB,8.44,8.44,True
flash,128k,32771,512,22,2,0.7012,1,gvr_pr,12.3951,12.3951,True
flash,128k,32771,512,22,2,0.7012,,kf_compB,16.6959,16.9455,True
flash,128k,32771,512,22,4,0.7012,1,gvr_pr,12.1951,12.1951,True
flash,128k,32771,512,22,4,0.7012,,kf_compB,33.0654,33.8222,True
flash,128k,32771,512,22,8,0.7012,1,gvr_pr,12.2096,12.2096,True
flash,128k,32771,512,22,8,0.7012,,kf_compB,65.7116,67.5004,True
flash,128k,32771,512,22,16,0.7012,1,gvr_pr,12.3983,12.3983,True
flash,128k,32771,512,22,16,0.7012,,kf_compB,129.7034,133.5241,True
flash,128k,32771,512,22,32,0.7012,1,gvr_pr,12.7759,12.7759,True
flash,128k,32771,512,22,32,0.7012,,kf_compB,257.5105,265.3825,True
flash,128k,32771,512,22,64,0.7012,1,gvr_pr,13.6479,13.6479,True
flash,128k,32771,512,22,64,0.7012,,kf_compB,513.5271,529.5254,True
flash,128k,32771,512,22,128,0.7012,1,gvr_pr,14.5327,14.5327,True
flash,128k,32771,512,22,128,0.7012,,kf_compB,1025.4295,1057.6951,True
flash,128k,32771,512,22,256,0.7012,1,gvr_pr,26.7886,26.7886,True
flash,128k,32771,512,22,256,0.7012,,kf_compB,2049.4592,2114.2605,True
flash,128k,32771,512,22,512,0.7012,1,gvr_pr,50.2908,50.2908,True
flash,128k,32771,512,22,512,0.7012,,kf_compB,4104.0948,4233.7995,True
flash,128k,32771,512,22,1024,0.7012,1,gvr_pr,88.6315,88.6315,True
flash,128k,32771,512,22,1024,0.7012,,kf_compB,8199.5155,8459.0808,True
flash,128k,32771,512,34,1,0.6875,1,gvr_pr,12.6559,12.6559,True
flash,128k,32771,512,34,1,0.6875,,kf_compB,8.6016,8.6016,True
flash,128k,32771,512,34,2,0.6875,1,gvr_pr,12.0367,12.0367,True
flash,128k,32771,512,34,2,0.6875,,kf_compB,17.0623,17.3183,True
flash,128k,32771,512,34,4,0.6875,1,gvr_pr,12.3024,12.3024,True
flash,128k,32771,512,34,4,0.6875,,kf_compB,33.7743,34.5438,True
flash,128k,32771,512,34,8,0.6875,1,gvr_pr,12.3423,12.3423,True
flash,128k,32771,512,34,8,0.6875,,kf_compB,67.1933,68.9869,True
flash,128k,32771,512,34,16,0.6875,1,gvr_pr,12.68,12.68,True
flash,128k,32771,512,34,16,0.6875,,kf_compB,133.137,136.9642,True
flash,128k,32771,512,34,32,0.6875,1,gvr_pr,13.0048,13.0048,True
flash,128k,32771,512,34,32,0.6875,,kf_compB,265.2483,273.1859,True
flash,128k,32771,512,34,64,0.6875,1,gvr_pr,13.7552,13.7552,True
flash,128k,32771,512,34,64,0.6875,,kf_compB,529.0214,545.167,True
flash,128k,32771,512,34,128,0.6875,1,gvr_pr,14.9247,14.9247,True
flash,128k,32771,512,34,128,0.6875,,kf_compB,1053.3149,1085.7564,True
flash,128k,32771,512,34,256,0.6875,1,gvr_pr,27.3023,27.3023,True
flash,128k,32771,512,34,256,0.6875,,kf_compB,2104.638,2170.3048,True
flash,128k,32771,512,34,512,0.6875,1,gvr_pr,51.1469,51.1469,True
flash,128k,32771,512,34,512,0.6875,,kf_compB,4216.5255,4347.4816,True
flash,128k,32771,512,34,1024,0.6875,1,gvr_pr,89.8763,89.8763,True
flash,128k,32771,512,34,1024,0.6875,,kf_compB,8450.5158,8712.0489,True
flash,16k,4099,512,10,1,0.6484,1,gvr_pr,9.4192,9.4192,True
flash,16k,4099,512,10,1,0.6484,,kf_compB,4.6448,4.6448,True
flash,16k,4099,512,10,2,0.6484,1,gvr_pr,8.9599,8.9599,True
flash,16k,4099,512,10,2,0.6484,,kf_compB,9.1743,9.4287,True
flash,16k,4099,512,10,4,0.6484,1,gvr_pr,9.2942,9.2942,True
flash,16k,4099,512,10,4,0.6484,,kf_compB,18.4575,19.2287,True
flash,16k,4099,512,10,8,0.6484,1,gvr_pr,9.4111,9.4111,True
flash,16k,4099,512,10,8,0.6484,,kf_compB,36.8925,38.7677,True
flash,16k,4099,512,10,16,0.6484,1,gvr_pr,9.8063,9.8063,True
flash,16k,4099,512,10,16,0.6484,,kf_compB,72.345,76.1898,True
flash,16k,4099,512,10,32,0.6484,1,gvr_pr,9.9087,9.9087,True
flash,16k,4099,512,10,32,0.6484,,kf_compB,143.106,151.3363,True
flash,16k,4099,512,10,64,0.6484,1,gvr_pr,10.0608,10.0608,True
flash,16k,4099,512,10,64,0.6484,,kf_compB,284.8712,300.9719,True
flash,16k,4099,512,10,128,0.6484,1,gvr_pr,10.5582,10.5582,True
flash,16k,4099,512,10,128,0.6484,,kf_compB,568.4514,600.8877,True
flash,16k,4099,512,10,256,0.6484,1,gvr_pr,19.2623,19.2623,True
flash,16k,4099,512,10,256,0.6484,,kf_compB,1135.7601,1200.8619,True
flash,16k,4099,512,10,512,0.6484,1,gvr_pr,36.0669,36.0669,True
flash,16k,4099,512,10,512,0.6484,,kf_compB,2268.6499,2399.2758,True
flash,16k,4099,512,10,1024,0.6484,1,gvr_pr,63.2571,63.2571,True
flash,16k,4099,512,10,1024,0.6484,,kf_compB,4521.9473,4783.2443,True
flash,16k,4099,512,22,1,0.3438,1,gvr_pr,9.4271,9.4271,True
flash,16k,4099,512,22,1,0.3438,,kf_compB,5.2544,5.2544,True
flash,16k,4099,512,22,2,0.3438,1,gvr_pr,8.928,8.928,True
flash,16k,4099,512,22,2,0.3438,,kf_compB,10.4063,10.8607,True
flash,16k,4099,512,22,4,0.3438,1,gvr_pr,9.3039,9.3039,True
flash,16k,4099,512,22,4,0.3438,,kf_compB,20.7918,21.6414,True
flash,16k,4099,512,22,8,0.3438,1,gvr_pr,9.272,9.272,True
flash,16k,4099,512,22,8,0.3438,,kf_compB,41.6461,43.5453,True
flash,16k,4099,512,22,16,0.3438,1,gvr_pr,9.8335,9.8335,True
flash,16k,4099,512,22,16,0.3438,,kf_compB,82.1002,85.9785,True
flash,16k,4099,512,22,32,0.3438,1,gvr_pr,9.8895,9.8895,True
flash,16k,4099,512,22,32,0.3438,,kf_compB,162.9476,170.9235,True
flash,16k,4099,512,22,64,0.3438,1,gvr_pr,10.104,10.104,True
flash,16k,4099,512,22,64,0.3438,,kf_compB,323.6115,339.8834,True
flash,16k,4099,512,22,128,0.3438,1,gvr_pr,10.4718,10.4718,True
flash,16k,4099,512,22,128,0.3438,,kf_compB,645.7762,678.5166,True
flash,16k,4099,512,22,256,0.3438,1,gvr_pr,19.2688,19.2688,True
flash,16k,4099,512,22,256,0.3438,,kf_compB,1290.9206,1356.5789,True
flash,16k,4099,512,22,512,0.3438,1,gvr_pr,36.1358,36.1358,True
flash,16k,4099,512,22,512,0.3438,,kf_compB,2578.3828,2709.5739,True
flash,16k,4099,512,22,1024,0.3438,1,gvr_pr,63.0732,63.0732,True
flash,16k,4099,512,22,1024,0.3438,,kf_compB,5146.9014,5413.3273,True
flash,16k,4099,512,34,1,0.3477,1,gvr_pr,9.1936,9.1936,True
flash,16k,4099,512,34,1,0.3477,,kf_compB,5.2271,5.2271,True
flash,16k,4099,512,34,2,0.3477,1,gvr_pr,8.7487,8.7487,True
flash,16k,4099,512,34,2,0.3477,,kf_compB,10.424,10.6752,True
flash,16k,4099,512,34,4,0.3477,1,gvr_pr,9.0431,9.0431,True
flash,16k,4099,512,34,4,0.3477,,kf_compB,20.8576,21.6192,True
flash,16k,4099,512,34,8,0.3477,1,gvr_pr,9.1198,9.1198,True
flash,16k,4099,512,34,8,0.3477,,kf_compB,41.6172,43.4108,True
flash,16k,4099,512,34,16,0.3477,1,gvr_pr,9.5391,9.5391,True
flash,16k,4099,512,34,16,0.3477,,kf_compB,81.8906,85.7146,True
flash,16k,4099,512,34,32,0.3477,1,gvr_pr,9.7247,9.7247,True
