cell,BS,N,cs,hit,arm,exact,us_prod,straggle,p1_gather_stats,smem_stage,p1b_rungs,p2_count_admission,p3_collect,p4_select,epilogue,p1_gather_stats_cyc,smem_stage_cyc,p1b_rungs_cyc,p2_count_admission_cyc,p3_collect_cyc,p4_select_cyc,epilogue_cyc
pro/128k/L30,8,32771,4,0.326,tb_off,True,19.46,1.055,0.1284,0.0047,0.0430,0.2221,0.1166,0.4787,0.0065,3094,113,1036,5354,2810,11538,157
pro/128k/L30,8,32771,4,0.326,tb_on,True,23.55,1.042,0.1014,0.0035,0.0557,0.3491,0.1480,0.3379,0.0044,3112,107,1709,10711,4542,10368,134
pro/512k/L30,8,131075,4,0.230,tb_off,True,23.55,1.025,0.1149,0.0049,0.0274,0.2225,0.1685,0.4576,0.0042,3702,159,882,7172,5432,14750,136
pro/512k/L30,8,131075,4,0.230,tb_on,True,31.57,1.019,0.0742,0.0034,0.0319,0.3879,0.1733,0.3263,0.0029,3482,160,1496,18200,8131,15311,136
flash/512k/L22,512,131075,1,0.057,tb_off,True,220.14,1.078,0.0404,0.0003,0.0089,0.7245,0.1895,0.0364,0.0001,9651,78,2120,173246,45300,8695,22
flash/512k/L22,512,131075,1,0.057,tb_on,True,179.20,1.289,0.0583,0.0005,0.0111,0.5384,0.3394,0.0521,0.0002,9432,76,1803,87164,54951,8440,25
flash/128k/L22,2,32771,8,0.701,tb_off,True,17.44,1.010,0.1302,0.0055,0.0315,0.1932,0.0864,0.5471,0.0060,2974,125,718,4414,1974,12496,138
flash/128k/L22,2,32771,8,0.701,tb_on,True,21.50,1.017,0.0916,0.0038,0.0429,0.3292,0.0974,0.4314,0.0038,2996,124,1404,10770,3186,14114,123
